File Name,Ediast (mV),Peak (mV),APA (mV),dV/dt max y (V/s),Negative dV/dt max y (V/s),SD1,SD2,SD1_SD2 Ratio,APD 20 (ms),APD 50 (ms),APD 80 (ms),APD 90 (ms),Folder,Condition 1,Condition 2,Condition 3,Condition 4
18711038,-72.2734949517546,77.0149946205647,149.288489572319,245.349982862502,-95.2499933468649,0.016499158227686,0.430611111111111,0.0383156816021608,0.439999999999999,2.65,12.82,21.56,RN_CTR_2744_4Hz,RN,CTR,2744,4Hz
18711042,-73.3889948738378,53.5799962574804,126.968991131318,317.049977854314,-30.6999978556299,0.0188561808316414,0.555333333333333,0.0339547073799064,0.999999999999999,5.85,19.38,27.76,RN_CTR_2744_4Hz,RN,CTR,2744,4Hz
18711046,-68.4459952191024,57.5449959805284,125.990991199631,335.349976576078,-31.4166644722378,0.0306412938514167,0.663388888888889,0.0461890368750942,1.48,10.88,25.74,33.19,RN_CTR_2744_4Hz,RN,CTR,2744,4Hz
18711050,-70.7564950577158,68.3349952268556,139.091490284571,290.09997973675,-78.9499944854062,0.011785113019776,0.428277777777778,0.027517451596312,0.450000000000001,3.05,13.72,21.41,RN_CTR_2744_4Hz,RN,CTR,2744,4Hz
18711054,-65.5504954213507,55.7099961087016,121.260491530052,225.399984255995,-69.9999951105561,0.0424264068711926,0.622888888888889,0.0681123192723392,0.460000000000001,3.43,16.8,31.11,RN_CTR_2744_4Hz,RN,CTR,2744,4Hz
18711058,-72.3084949493099,48.749996594852,121.058491544162,319.849977658735,-19.6499986274635,0.0259272486435069,0.643944444444444,0.0402631762214757,1.74,7.91,22.7,32.19,RN_CTR_2744_4Hz,RN,CTR,2744,4Hz
18711071,-72.8404949121501,57.9299959536364,130.770490865787,341.599976139517,-42.1818152354525,0.0235702260395514,0.517222222222222,0.0455707914835581,0.759999999999999,5.13,17.48,25.84,RN_CTR_2744_4Hz,RN,CTR,2744,4Hz
18712049,-72.1444949607651,48.5099966116158,120.654491572381,313.199978123238,-23.3999983655291,0.0141421356237312,0.414111111111111,0.0341505824023559,1.21,5.28,14.39,20.71,RN_CTR_2744_4Hz,RN,CTR,2744,4Hz
18712053,-75.5659947217761,54.8599961680735,130.42599088985,321.099977571423,-32.8999977019617,0.0188561808316415,0.515333333333333,0.0365902603460056,1.02,6.96,19.43,25.76,RN_CTR_2744_4Hz,RN,CTR,2744,4Hz
18712057,-72.5814636802432,55.8799960968273,128.461459777071,353.999975273389,-23.6499983480667,0.032998316455372,0.623888888888889,0.0528913353692517,2.83,12.42,26.64,31.18,RN_CTR_2744_4Hz,RN,CTR,2744,4Hz
18712061,-71.9319949756081,60.4099957804104,132.341990756019,343.699975992835,-32.8499977054541,0.0471404520791035,0.885888888888889,0.0532126011177639,2.43,14.66,35.99,44.28,RN_CTR_2744_4Hz,RN,CTR,2744,4Hz
18712066,-75.5204947249543,58.7749958946139,134.295490619568,351.449975451501,-29.5999979324646,0.0494974746830592,0.7765,0.0637443331398058,1.98,13.38,31.26,38.86,RN_CTR_2744_4Hz,RN,CTR,2744,4Hz
18712072,-75.2459947441279,54.339996204395,129.585990948523,311.149978266426,-39.5999972339722,0.0117851130197759,0.315611111111111,0.0373406150952237,0.809999999999999,3.79,11.04,15.79,RN_CTR_2744_4Hz,RN,CTR,2744,4Hz
18713033,-80.2514943944977,58.1399959389681,138.391490333466,304.599978723938,-55.4499961268625,0.049497474683058,0.8195,0.0603996030299671,0.709999999999999,9.36,31.4,40.96,RN_CTR_2744_4Hz,RN,CTR,2744,4Hz
18713038,-76.6864946435101,56.9799960199932,133.666490663503,333.099976733234,-38.4499973142986,0.0282842712474621,0.642777777777778,0.0440031877661468,1.04,7.29,24.79,32.11,RN_CTR_2744_4Hz,RN,CTR,2744,4Hz
18713044,-72.9424949050255,64.0199955282549,136.96249043328,273.749980878787,-61.0999957322142,0.089566858950296,0.972,0.0921469742286995,0.65,9,36.24,48.51,RN_CTR_2744_4Hz,RN,CTR,2744,4Hz
18716029,-84.2534941149613,65.9499953934459,150.203489508407,315.099977990519,-71.849994981336,0.075424723326565,0.987666666666667,0.0763665777859247,0.52,7.2,35.51,49.42,RN_CTR_2744_4Hz,RN,CTR,2744,4Hz
18716033,-83.4994941676276,59.3949958513074,142.894490018935,360.599974812383,-70.3499950861107,0.0094280904158206,0.367222222222222,0.0256740737495871,0.5,2.83,11.5,18.37,RN_CTR_2744_4Hz,RN,CTR,2744,4Hz
18716037,-83.9044941393387,55.7899961031137,139.694490242452,401.749971938086,-31.449997803243,0.0329983164553727,0.835777777777778,0.039482165394623,1.9,11.2,33.49,41.81,RN_CTR_2744_4Hz,RN,CTR,2744,4Hz
18716042,-85.1194940544719,60.3399957852999,145.459489839772,250.199982523735,-50.8499964481689,0.0353553390593273,0.6405,0.0551995925984813,0.97,9.86,25.58,32.06,RN_CTR_2744_4Hz,RN,CTR,2744,4Hz
18716046,-83.0439941994439,46.4999967520127,129.543990951457,368.649974250094,-22.1999984493479,0.063639610306789,0.698277777777778,0.0911379573173842,1.62,8.55,26.65,34.92,RN_CTR_2744_4Hz,RN,CTR,2744,4Hz
18716051,-83.906994139164,62.2499956518879,146.156989791052,352.099975406105,-66.1999953759833,0.0353553390593275,0.800055555555555,0.0441911049974235,1,10.22,30.03,39.97,RN_CTR_2744_4Hz,RN,CTR,2744,4Hz
