"File Name","Folder","Condition 1","Condition 2","Condition 3","Condition 4","Parameter","Operator","Value"
"57","18704032","RN_STZ_2744_1Hz","RN","STZ","2744","1Hz","SD1","Value",6.36727733117811
"58","18704038","RN_STZ_2744_1Hz","RN","STZ","2744","1Hz","SD1","Value",5.88873970510887
"59","18704042","RN_STZ_2744_1Hz","RN","STZ","2744","1Hz","SD1","Value",5.34525815175889
"60","18704046","RN_STZ_2744_1Hz","RN","STZ","2744","1Hz","SD1","Value",5.03751804890063
"61","18704051","RN_STZ_2744_1Hz","RN","STZ","2744","1Hz","SD1","Value",10.0226007699613
"62","18704055","RN_STZ_2744_1Hz","RN","STZ","2744","1Hz","SD1","Value",8.50466591275673
"63","18704059","RN_STZ_2744_1Hz","RN","STZ","2744","1Hz","SD1","Value",4.31575775062958
"64","18710036","RN_STZ_2744_1Hz","RN","STZ","2744","1Hz","SD1","Value",8.96098756229704
"65","18710041","RN_STZ_2744_1Hz","RN","STZ","2744","1Hz","SD1","Value",7.0204298654523
"66","18710049","RN_STZ_2744_1Hz","RN","STZ","2744","1Hz","SD1","Value",5.76953426419441
"67","18703041","RN_STZ_2744_2Hz","RN","STZ","2744","2Hz","SD1","Value",4.67368257231878
"68","18703045","RN_STZ_2744_2Hz","RN","STZ","2744","2Hz","SD1","Value",8.47244820640387
"69","18703049","RN_STZ_2744_2Hz","RN","STZ","2744","2Hz","SD1","Value",7.44882561182854
"70","18703056","RN_STZ_2744_2Hz","RN","STZ","2744","2Hz","SD1","Value",10.6942822624372
"71","18703059","RN_STZ_2744_2Hz","RN","STZ","2744","2Hz","SD1","Value",8.30679265433305
"72","18704027","RN_STZ_2744_2Hz","RN","STZ","2744","2Hz","SD1","Value",7.30638263246155
"73","18704033","RN_STZ_2744_2Hz","RN","STZ","2744","2Hz","SD1","Value",2.62444631044932
"74","18704039","RN_STZ_2744_2Hz","RN","STZ","2744","2Hz","SD1","Value",7.64726603928081
"75","18704043","RN_STZ_2744_2Hz","RN","STZ","2744","2Hz","SD1","Value",4.51296568841215
