"Time (ms)","Sweep 15. Voltage (mV)","Sweep 16. Voltage (mV)","Sweep 17. Voltage (mV)","Sweep 18. Voltage (mV)","Sweep 19. Voltage (mV)"
0,-83.0078085573407,-82.7026327905857,-82.3974570238308,-82.3974570238308,-82.7026327905857
0.5,-83.3129843240956,-83.0078085573407,-82.3974570238308,-82.3974570238308,-82.7026327905857
1,-83.0078085573407,-83.0078085573407,-82.7026327905857,-82.7026327905857,-82.7026327905857
1.5,-83.0078085573407,-83.0078085573407,-82.7026327905857,-82.3974570238308,-82.3974570238308
2,-83.0078085573407,-82.7026327905857,-82.7026327905857,-82.7026327905857,-82.7026327905857
2.5,-83.0078085573407,-83.0078085573407,-82.7026327905857,-82.7026327905857,-82.7026327905857
3,-83.0078085573407,-83.0078085573407,-82.7026327905857,-82.7026327905857,-82.7026327905857
3.5,-83.0078085573407,-83.0078085573407,-82.7026327905857,-82.7026327905857,-82.7026327905857
4,-83.0078085573407,-83.0078085573407,-82.7026327905857,-82.7026327905857,-82.7026327905857
4.5,-83.3129843240956,-83.0078085573407,-82.7026327905857,-82.7026327905857,-83.0078085573407
5,-83.0078085573407,-83.0078085573407,-82.7026327905857,-82.7026327905857,-83.0078085573407
5.5,-83.0078085573407,-83.0078085573407,-82.7026327905857,-82.7026327905857,-82.7026327905857
6,-83.0078085573407,-83.0078085573407,-82.7026327905857,-82.7026327905857,-83.0078085573407
6.5,-83.0078085573407,-83.0078085573407,-82.7026327905857,-82.7026327905857,-83.0078085573407
7,-83.0078085573407,-83.0078085573407,-82.7026327905857,-82.7026327905857,-82.7026327905857
7.5,-82.7026327905857,-82.7026327905857,-82.7026327905857,-82.7026327905857,-82.7026327905857
8,-82.7026327905857,-83.0078085573407,-82.3974570238308,-82.3974570238308,-83.0078085573407
8.5,-82.7026327905857,-82.7026327905857,-82.7026327905857,-82.3974570238308,-83.0078085573407
9,-82.7026327905857,-82.7026327905857,-82.7026327905857,-82.3974570238308,-82.7026327905857
9.5,-82.7026327905857,-82.7026327905857,-82.7026327905857,-82.3974570238308,-82.7026327905857
10,-82.7026327905857,-82.7026327905857,-82.7026327905857,-82.7026327905857,-82.7026327905857
10.5,-82.7026327905857,-82.7026327905857,-82.3974570238308,-82.3974570238308,-82.3974570238308
11,-82.3974570238308,-82.7026327905857,-82.3974570238308,-82.3974570238308,-82.7026327905857
11.5,-82.3974570238308,-82.7026327905857,-82.3974570238308,-82.0922812570759,-82.7026327905857
12,-82.7026327905857,-82.7026327905857,-82.3974570238308,-82.3974570238308,-82.3974570238308
12.5,-82.3974570238308,-82.3974570238308,-82.3974570238308,-82.3974570238308,-82.3974570238308
13,-82.3974570238308,-82.3974570238308,-82.0922812570759,-82.0922812570759,-82.3974570238308
13.5,-82.3974570238308,-82.7026327905857,-82.3974570238308,-82.0922812570759,-82.3974570238308
14,-82.3974570238308,-82.3974570238308,-82.3974570238308,-82.0922812570759,-82.3974570238308
14.5,-82.3974570238308,-82.3974570238308,-82.3974570238308,-82.0922812570759,-82.3974570238308
15,-82.3974570238308,-82.3974570238308,-82.0922812570759,-82.0922812570759,-82.3974570238308
15.5,-82.7026327905857,-82.3974570238308,-82.0922812570759,-82.0922812570759,-82.3974570238308
16,-82.3974570238308,-82.3974570238308,-82.3974570238308,-82.0922812570759,-82.3974570238308
16.5,-82.7026327905857,-82.3974570238308,-82.0922812570759,-82.0922812570759,-82.3974570238308
17,-82.7026327905857,-82.7026327905857,-82.0922812570759,-82.0922812570759,-82.3974570238308
17.5,-82.7026327905857,-82.7026327905857,-82.3974570238308,-82.0922812570759,-82.3974570238308
18,-82.7026327905857,-82.7026327905857,-82.3974570238308,-82.0922812570759,-82.3974570238308
18.5,-82.7026327905857,-82.7026327905857,-82.3974570238308,-82.0922812570759,-82.3974570238308
19,-82.7026327905857,-82.7026327905857,-82.3974570238308,-82.3974570238308,-82.3974570238308
19.5,-82.7026327905857,-82.7026327905857,-82.7026327905857,-82.3974570238308,-82.7026327905857
20,-83.0078085573407,-82.7026327905857,-82.3974570238308,-82.7026327905857,-82.7026327905857
20.5,-83.0078085573407,-83.0078085573407,-82.3974570238308,-82.3974570238308,-82.7026327905857
21,-83.0078085573407,-83.0078085573407,-82.7026327905857,-82.3974570238308,-82.7026327905857
21.5,-83.0078085573407,-83.0078085573407,-82.7026327905857,-82.7026327905857,-82.7026327905857
22,-83.0078085573407,-83.0078085573407,-82.7026327905857,-82.7026327905857,-82.7026327905857
22.5,-83.0078085573407,-83.0078085573407,-82.7026327905857,-82.7026327905857,-82.7026327905857
23,-83.0078085573407,-83.0078085573407,-83.0078085573407,-82.7026327905857,-83.0078085573407
