"Time (ms)","Sweep 11. Voltage (mV)","Sweep 12. Voltage (mV)","Sweep 13. Voltage (mV)","Sweep 14. Voltage (mV)","Sweep 15. Voltage (mV)"
0,-64.6972625520449,-63.7817352517801,-64.0869110185351,-64.39208678529,-63.7817352517801
0.5,-64.6972625520449,-63.7817352517801,-64.0869110185351,-64.39208678529,-63.7817352517801
1,-64.6972625520449,-63.7817352517801,-64.0869110185351,-64.39208678529,-63.7817352517801
1.5,-64.6972625520449,-63.7817352517801,-64.0869110185351,-64.39208678529,-63.7817352517801
2,-65.0024383187999,-63.7817352517801,-64.0869110185351,-64.6972625520449,-63.7817352517801
2.5,-65.0024383187999,-63.7817352517801,-64.0869110185351,-64.6972625520449,-63.7817352517801
3,-65.0024383187999,-64.0869110185351,-64.0869110185351,-64.6972625520449,-64.0869110185351
3.5,-65.0024383187999,-64.0869110185351,-64.39208678529,-64.6972625520449,-64.0869110185351
4,-65.0024383187999,-63.7817352517801,-64.0869110185351,-64.6972625520449,-64.0869110185351
4.5,-65.0024383187999,-64.0869110185351,-64.0869110185351,-64.6972625520449,-64.0869110185351
5,-65.3076140855548,-64.39208678529,-64.39208678529,-65.0024383187999,-64.0869110185351
5.5,-65.0024383187999,-64.0869110185351,-64.39208678529,-65.0024383187999,-64.0869110185351
6,-65.0024383187999,-64.0869110185351,-64.39208678529,-65.0024383187999,-64.0869110185351
6.5,-65.0024383187999,-64.39208678529,-64.39208678529,-65.0024383187999,-64.0869110185351
7,-65.3076140855548,-64.39208678529,-64.39208678529,-65.0024383187999,-64.0869110185351
7.5,-65.3076140855548,-64.39208678529,-64.39208678529,-65.0024383187999,-64.0869110185351
8,-65.0024383187999,-64.39208678529,-64.39208678529,-65.0024383187999,-64.39208678529
8.5,-65.3076140855548,-64.39208678529,-64.39208678529,-65.0024383187999,-64.39208678529
9,-65.3076140855548,-64.39208678529,-64.6972625520449,-65.0024383187999,-64.0869110185351
9.5,-65.3076140855548,-64.39208678529,-64.39208678529,-65.0024383187999,-64.39208678529
10,-65.3076140855548,-64.39208678529,-64.39208678529,-65.0024383187999,-64.39208678529
10.5,-65.0024383187999,-64.39208678529,-64.39208678529,-65.3076140855548,-64.39208678529
11,-65.3076140855548,-64.39208678529,-64.6972625520449,-65.0024383187999,-64.0869110185351
11.5,-65.0024383187999,-64.0869110185351,-64.39208678529,-65.0024383187999,-64.39208678529
12,-65.0024383187999,-64.39208678529,-64.39208678529,-65.0024383187999,-64.39208678529
12.5,-65.0024383187999,-64.0869110185351,-64.39208678529,-65.0024383187999,-64.0869110185351
13,-65.0024383187999,-64.0869110185351,-64.39208678529,-65.0024383187999,-64.0869110185351
13.5,-65.0024383187999,-64.0869110185351,-64.0869110185351,-65.0024383187999,-64.0869110185351
14,-65.0024383187999,-64.39208678529,-64.39208678529,-65.0024383187999,-64.0869110185351
14.5,-64.6972625520449,-64.0869110185351,-64.39208678529,-64.6972625520449,-64.0869110185351
15,-64.6972625520449,-64.0869110185351,-64.0869110185351,-64.6972625520449,-64.0869110185351
15.5,-64.6972625520449,-64.0869110185351,-64.0869110185351,-64.6972625520449,-64.0869110185351
16,-64.6972625520449,-64.0869110185351,-64.0869110185351,-64.6972625520449,-64.0869110185351
16.5,-64.6972625520449,-63.7817352517801,-64.0869110185351,-64.6972625520449,-64.0869110185351
17,-64.39208678529,-63.7817352517801,-63.7817352517801,-64.39208678529,-64.0869110185351
17.5,-64.6972625520449,-64.0869110185351,-64.0869110185351,-64.6972625520449,-63.7817352517801
18,-64.6972625520449,-64.0869110185351,-64.0869110185351,-64.39208678529,-63.7817352517801
18.5,-64.6972625520449,-63.7817352517801,-63.7817352517801,-64.39208678529,-64.0869110185351
19,-64.6972625520449,-63.7817352517801,-63.7817352517801,-64.39208678529,-64.0869110185351
19.5,-64.39208678529,-63.7817352517801,-64.0869110185351,-64.6972625520449,-63.7817352517801
20,-64.6972625520449,-64.0869110185351,-64.0869110185351,-64.6972625520449,-63.7817352517801
20.5,-64.6972625520449,-63.7817352517801,-63.7817352517801,-64.39208678529,-64.0869110185351
21,-64.6972625520449,-64.0869110185351,-64.0869110185351,-64.6972625520449,-64.0869110185351
21.5,-64.6972625520449,-64.0869110185351,-64.0869110185351,-64.39208678529,-64.0869110185351
22,-64.6972625520449,-64.0869110185351,-64.0869110185351,-64.39208678529,-63.7817352517801
22.5,-65.0024383187999,-64.0869110185351,-64.0869110185351,-64.6972625520449,-64.0869110185351
23,-64.6972625520449,-64.0869110185351,-64.0869110185351,-64.6972625520449,-64.0869110185351
23.5,-65.0024383187999,-64.0869110185351,-64.0869110185351,-64.6972625520449,-64.0869110185351
24,-65.0024383187999,-64.0869110185351,-64.0869110185351,-64.6972625520449,-64.0869110185351
24.5,-65.0024383187999,-64.39208678529,-64.0869110185351,-64.6972625520449,-64.0869110185351
25,-65.3076140855548,-64.39208678529,-64.39208678529,-65.0024383187999,-64.0869110185351
25.5,-65.0024383187999,-64.39208678529,-64.39208678529,-64.6972625520449,-64.0869110185351
26,-65.0024383187999,-64.39208678529,-64.39208678529,-65.0024383187999,-64.39208678529
26.5,-65.0024383187999,-64.39208678529,-64.39208678529,-64.6972625520449,-64.39208678529
27,-65.3076140855548,-64.6972625520449,-64.39208678529,-65.0024383187999,-64.0869110185351
27.5,-65.0024383187999,-64.6972625520449,-64.39208678529,-65.0024383187999,-64.0869110185351
28,-65.3076140855548,-64.39208678529,-64.39208678529,-65.0024383187999,-64.39208678529
28.5,-65.3076140855548,-64.6972625520449,-64.39208678529,-65.0024383187999,-64.39208678529
29,-65.3076140855548,-64.6972625520449,-64.39208678529,-65.0024383187999,-64.39208678529
29.5,-65.3076140855548,-64.6972625520449,-64.39208678529,-65.0024383187999,-64.39208678529
30,-65.3076140855548,-64.39208678529,-64.39208678529,-65.3076140855548,-64.6972625520449
30.5,-65.3076140855548,-64.6972625520449,-64.39208678529,-65.0024383187999,-64.39208678529
31,-65.3076140855548,-64.6972625520449,-64.39208678529,-65.0024383187999,-64.39208678529
31.5,-65.0024383187999,-64.39208678529,-64.39208678529,-65.0024383187999,-64.39208678529
32,-65.0024383187999,-64.39208678529,-64.0869110185351,-65.0024383187999,-64.39208678529
32.5,-65.0024383187999,-64.39208678529,-64.39208678529,-65.0024383187999,-64.39208678529
33,-65.0024383187999,-64.0869110185351,-64.39208678529,-65.0024383187999,-64.39208678529
33.5,-65.0024383187999,-64.0869110185351,-64.0869110185351,-65.0024383187999,-64.0869110185351
34,-65.0024383187999,-64.0869110185351,-64.0869110185351,-65.3076140855548,-64.0869110185351
34.5,-64.6972625520449,-64.0869110185351,-64.0869110185351,-65.0024383187999,-64.0869110185351
35,-65.0024383187999,-64.0869110185351,-64.0869110185351,-64.6972625520449,-64.0869110185351
35.5,-65.0024383187999,-64.0869110185351,-64.0869110185351,-65.0024383187999,-64.0869110185351
36,-64.6972625520449,-64.0869110185351,-64.0869110185351,-65.0024383187999,-64.0869110185351
36.5,-64.6972625520449,-63.7817352517801,-63.7817352517801,-65.0024383187999,-64.0869110185351
37,-64.6972625520449,-63.7817352517801,-63.7817352517801,-64.6972625520449,-63.7817352517801
37.5,-64.6972625520449,-63.7817352517801,-63.7817352517801,-64.6972625520449,-63.7817352517801
38,-64.6972625520449,-63.7817352517801,-63.7817352517801,-64.6972625520449,-63.7817352517801
38.5,-64.6972625520449,-63.7817352517801,-63.7817352517801,-64.6972625520449,-63.7817352517801
39,-64.6972625520449,-63.7817352517801,-63.7817352517801,-64.6972625520449,-63.7817352517801
39.5,-64.6972625520449,-63.7817352517801,-63.4765594850252,-64.6972625520449,-63.7817352517801
40,-64.6972625520449,-63.7817352517801,-63.7817352517801,-64.6972625520449,-63.7817352517801
40.5,-64.6972625520449,-63.7817352517801,-63.7817352517801,-65.0024383187999,-63.7817352517801
