"Time (ms)","Sweep 7. Voltage (mV)","Sweep 8. Voltage (mV)","Sweep 9. Voltage (mV)","Sweep 10. Voltage (mV)","Sweep 11. Voltage (mV)"
0,-84.8388631578702,-84.5336873911153,-84.5336873911153,-84.8388631578702,-84.8388631578702
0.5,-84.8388631578702,-84.5336873911153,-84.5336873911153,-84.5336873911153,-84.8388631578702
1,-84.8388631578702,-84.5336873911153,-84.5336873911153,-84.5336873911153,-84.8388631578702
1.5,-84.5336873911153,-84.5336873911153,-84.5336873911153,-84.5336873911153,-84.8388631578702
2,-84.8388631578702,-84.5336873911153,-84.5336873911153,-84.5336873911153,-84.8388631578702
2.5,-84.8388631578702,-84.5336873911153,-84.5336873911153,-84.2285116243604,-84.8388631578702
3,-84.8388631578702,-84.5336873911153,-84.5336873911153,-84.5336873911153,-84.8388631578702
3.5,-84.8388631578702,-84.5336873911153,-84.5336873911153,-84.5336873911153,-84.8388631578702
4,-84.8388631578702,-84.8388631578702,-84.5336873911153,-84.2285116243604,-84.5336873911153
4.5,-84.8388631578702,-84.8388631578702,-84.2285116243604,-84.2285116243604,-84.5336873911153
5,-84.8388631578702,-84.5336873911153,-84.5336873911153,-84.5336873911153,-84.5336873911153
5.5,-84.8388631578702,-84.5336873911153,-84.5336873911153,-84.2285116243604,-84.8388631578702
6,-84.8388631578702,-84.5336873911153,-84.2285116243604,-84.2285116243604,-84.5336873911153
6.5,-84.8388631578702,-84.5336873911153,-84.2285116243604,-84.2285116243604,-84.5336873911153
7,-84.8388631578702,-84.5336873911153,-84.5336873911153,-84.2285116243604,-84.5336873911153
7.5,-84.8388631578702,-84.5336873911153,-84.5336873911153,-84.2285116243604,-84.5336873911153
8,-84.5336873911153,-84.5336873911153,-84.2285116243604,-84.2285116243604,-84.5336873911153
8.5,-84.8388631578702,-84.5336873911153,-84.2285116243604,-84.2285116243604,-84.5336873911153
9,-84.8388631578702,-84.5336873911153,-84.5336873911153,-84.2285116243604,-84.5336873911153
9.5,-84.8388631578702,-84.5336873911153,-84.2285116243604,-83.9233358576055,-84.5336873911153
10,-84.5336873911153,-84.2285116243604,-84.2285116243604,-83.9233358576055,-84.5336873911153
10.5,-84.8388631578702,-84.2285116243604,-84.2285116243604,-84.2285116243604,-84.5336873911153
11,-84.8388631578702,-84.2285116243604,-84.2285116243604,-84.2285116243604,-84.5336873911153
11.5,-84.5336873911153,-84.2285116243604,-84.2285116243604,-84.2285116243604,-84.5336873911153
