"Sweep (n)","APD","APD value (ms)","APD value (mV)"
171,"APD 20",18.9,22.199998449348
171,"APD 50",44,-11.9999991618097
171,"APD 90",69.5,-57.7999959627168
172,"APD 20",18,23.2999983725139
172,"APD 50",43.8,-11.4999991967343
172,"APD 90",69.5,-57.7999959627168
173,"APD 20",18.6,22.8999984004536
173,"APD 50",44.2,-11.5999991897494
173,"APD 90",69.9,-57.7999959627168
174,"APD 20",17.9,23.2999983725139
174,"APD 50",43.9,-11.3999992037192
174,"APD 90",69.7,-57.7999959627168
175,"APD 20",17.4,23.6999983445742
175,"APD 50",43.5,-11.1999992176891
175,"APD 90",69.8,-57.7999959627168
