"Sweep (n)","APD","APD value (ms)","APD value (mV)"
129,"APD 20",7.6,20.0347890874611
129,"APD 50",35.6,-16.7724601408509
129,"APD 90",121.4,-66.1315886557931
130,"APD 20",8.2,20.0347890874611
130,"APD 50",35.4,-17.0440665732628
130,"APD 90",125.6,-66.3116423581785
131,"APD 20",7.8,19.7204580477035
131,"APD 50",36,-16.9738761469091
131,"APD 90",123.2,-65.8599822233812
132,"APD 20",7.8,20.1965322438412
132,"APD 50",35.8,-16.6442863188138
132,"APD 90",123.2,-65.7379119166792
133,"APD 20",8,19.5068350109751
133,"APD 50",35.2,-17.3126212480071
133,"APD 90",121.2,-66.4581267262209
