"Sweep (n)","APD","APD value (ms)","APD value (mV)"
123,"APD 20",15.5,28.7999979883433
123,"APD 50",53.2,-8.29999942025172
123,"APD 90",86,-57.4999959836716
124,"APD 20",15,28.7999979883433
124,"APD 50",53.8,-8.19999942723664
124,"APD 90",85.8,-57.4999959836716
125,"APD 20",15.5,28.8999979813584
125,"APD 50",52.3,-8.09999943422156
125,"APD 90",84.5,-57.4999959836716
126,"APD 20",15.4,28.9999979743735
126,"APD 50",52.7,-8.09999943422156
126,"APD 90",84.6,-57.4999959836716
127,"APD 20",15.4,29.1999979604037
127,"APD 50",52.5,-7.99999944120648
127,"APD 90",84.5,-57.4999959836716
