"Sweep (n)","APD","APD value (ms)","APD value (mV)"
880,"APD 20",4.8,20.7499985506293
880,"APD 50",18.1,-14.3499989976641
880,"APD 90",40.1,-61.1999957252296
881,"APD 20",4.9,20.4499985715841
881,"APD 50",18.4,-14.3999989941717
881,"APD 90",40.3,-61.1999957252296
882,"APD 20",4.6,21.1999985191972
882,"APD 50",18.4,-14.1999990081415
882,"APD 90",40.6,-60.9999957391994
883,"APD 20",4.4,21.1499985226896
883,"APD 50",18.1,-13.9499990256038
883,"APD 90",40.2,-60.9999957391994
884,"APD 20",4.7,20.6499985576142
884,"APD 50",18.1,-14.4499989906792
884,"APD 90",40,-61.049995735707
885,"APD 20",4.7,20.999998533167
885,"APD 50",18.2,-14.2999990011566
885,"APD 90",40.1,-61.0999957322145
886,"APD 20",5,19.5499986344483
886,"APD 50",18.1,-15.0999989452772
886,"APD 90",40.1,-61.2999957182447
887,"APD 20",4.8,20.4499985715841
887,"APD 50",18.2,-14.5499989836943
887,"APD 90",40.5,-61.049995735707
888,"APD 20",4.8,20.8499985436444
888,"APD 50",18.5,-14.149999011634
888,"APD 90",40.6,-60.9999957391994
889,"APD 20",5.2,20.1499985925388
889,"APD 50",18.4,-14.6499989767094
889,"APD 90",40.5,-61.2499957217371
