"File Name","Ediast (mV)","Peak (mV)","APA (mV)","dV/dt max y (V/s)","Negative dV/dt max y (V/s)","STV","APD 20 (ms)","APD 50 (ms)","APD 90 (ms)"
"17421004",-67.659272752537,62.5750746408494,130.234347393386,246.774297508024,-7.62634294389947,2.66814958767724,57.68,152,173.6
"17421018",-72.369355865628,86.9696064361097,159.338962301738,50.8178722296174,-80.0109881165102,1.07480230740355,1.88,52.48,79
"17421022",-75.7915971530586,59.9487318087086,135.740328961767,233.0444388027,-5.33752453336555,1.22093770884877,42.84,82.24,97.48
"17421026",-77.1953752606073,54.1760266015536,131.371401862161,302.032477454078,-3.95812997128365,0.86267027304759,34.32,74.48,93.68
"17421041",-77.5192278069085,54.6502697762162,132.169497583125,213.769536028122,-58.5510266993426,0.466690475583121,35.88,63.4,74.08
"17421045",-75.998323231898,56.9042981469102,132.902621378808,290.930182284042,-6.4300538546604,0.867384318255498,40.96,76.52,89.72
"17421049",-73.496522638869,57.0660413145879,130.562563953457,240.225225096016,-7.21740738788402,0.4572623851673,18.76,43.32,54.12
"17427007",-74.1799027810969,56.9860852581133,131.16598803921,140.432742396729,-3.30505378481121,1.97989898732234,82.68,146.44,171.56
"17502003",-73.8079850481745,63.3264174310807,137.134402479255,202.322392217571,-5.63049328991431,2.76714453704335,95.72,168.32,185.2
"17502007",-61.1690077148901,70.6744400562593,131.843447771149,230.340581320385,-3.79638680360586,0.815529820968485,37.56,85.12,106.44
"17502011",-66.0636306270278,67.8405776882301,133.904208315258,215.539555598935,-6.50024428591701,1.95161471607487,64.2,123.56,139.76
"17502015",-68.3895889309702,70.8612076385589,139.250796569529,327.923591314045,-45.2972422234099,0.622253967444164,7.72,45,61.68
