"File Name","Folder","Condition 1","Condition 2","Condition 3","Condition 4","Parameter","Operator","Value"
"58","18712049","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",1.86745305274407
"59","18712053","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",1.31669813814505
"60","18712061","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",1.55240018007245
"61","18712066","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",1.29184567862738
"62","18712072","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",1.6097624212115
"63","18713033","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",1.40562263092684
"64","18713038","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",1.19483186835957
"65","18713044","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",1.28569986145825
"66","18716029","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",1.33016090719384
"67","18716037","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",1.35033229274141
"68","18716042","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",1.53431589813889
"69","18716046","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",1.34745870067398
"70","18716051","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","SD1","Value",1.31661606949846
"71","18711043","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","SD1","Value",1.7833056863548
"72","18711047","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","SD1","Value",1.52460979175559
"73","18711051","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","SD1","Value",1.33457722620497
"74","18711059","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","SD1","Value",1.67541918357757
"75","18712050","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","SD1","Value",1.81210409688308
"76","18712054","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","SD1","Value",1.50615076110505
"77","18712067","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","SD1","Value",1.55714111129704
"78","18713039","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","SD1","Value",1.2729137274869
"79","18716030","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","SD1","Value",1.55810257985539
"80","18716034","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","SD1","Value",1.45324467978128
"81","18716047","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","SD1","Value",1.37006871472451
"82","18716052","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","SD1","Value",1.78328805287944
"83","18716056","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","SD1","Value",1.2357257828254
"84","18703040","RN_STZ_2744_1Hz","RN","STZ","2744","1Hz","SD1","Value",1.17062596794358
"85","18703044","RN_STZ_2744_1Hz","RN","STZ","2744","1Hz","SD1","Value",0.862020501683036
"86","18703048","RN_STZ_2744_1Hz","RN","STZ","2744","1Hz","SD1","Value",1.11226103251518
"87","18703058","RN_STZ_2744_1Hz","RN","STZ","2744","1Hz","SD1","Value",0.645588189833542
"88","18704026","RN_STZ_2744_1Hz","RN","STZ","2744","1Hz","SD1","Value",1.22433962994239
"89","18704032","RN_STZ_2744_1Hz","RN","STZ","2744","1Hz","SD1","Value",1.12363717609025
"90","18704051","RN_STZ_2744_1Hz","RN","STZ","2744","1Hz","SD1","Value",1.43180010999448
"91","18704055","RN_STZ_2744_1Hz","RN","STZ","2744","1Hz","SD1","Value",1.85250148594701
"92","18704059","RN_STZ_2744_1Hz","RN","STZ","2744","1Hz","SD1","Value",0.708054005962665
"93","18710036","RN_STZ_2744_1Hz","RN","STZ","2744","1Hz","SD1","Value",1.50544591046591
"94","18710049","RN_STZ_2744_1Hz","RN","STZ","2744","1Hz","SD1","Value",1.18959469364833
"95","18703045","RN_STZ_2744_2Hz","RN","STZ","2744","2Hz","SD1","Value",1.29680329689856
"96","18703049","RN_STZ_2744_2Hz","RN","STZ","2744","2Hz","SD1","Value",1.24147093530476
