"Sweep (n)","APD","APD value (ms)","APD value (mV)"
71,"APD 20",0.5,40.0999971990475
71,"APD 50",7.6,-4.39999969266356
71,"APD 90",40.2,-65.4499954283705
72,"APD 20",0.5,40.9499971396757
72,"APD 50",7.6,-4.04999971711078
72,"APD 90",39,-65.4499954283705
73,"APD 20",0.5,40.8999971431681
73,"APD 50",7.6,-4.34999969615602
73,"APD 90",39.1,-65.2999954388479
74,"APD 20",0.5,39.2499972584193
74,"APD 50",7.6,-4.54999968218619
74,"APD 90",38.5,-65.399995431863
75,"APD 20",0.5,39.7999972200022
75,"APD 50",7.5,-4.54999968218619
75,"APD 90",38.6,-65.4499954283705
76,"APD 20",0.5,41.7999970803039
76,"APD 50",7.6,-4.1999997066334
76,"APD 90",38.7,-65.399995431863
77,"APD 20",0.5,41.1499971257058
77,"APD 50",7.5,-4.04999971711078
77,"APD 90",39.2,-65.4999954248781
78,"APD 20",0.5,40.7999971501531
78,"APD 50",7.7,-4.29999969964848
78,"APD 90",39.3,-65.5499954213856
79,"APD 20",0.5,41.1499971257058
79,"APD 50",7.6,-4.14999971012586
79,"APD 90",39.4,-65.4999954248781
80,"APD 20",0.5,40.699997157138
80,"APD 50",7.7,-4.14999971012586
80,"APD 90",39.8,-65.5999954178932
