"Sweep (n)","Negative dV/dt max x (ms)","Negative dV/dt max y (V/s)"
22,11.1,-24.4999982886953
23,11.1,-25.4999982188462
24,12.1,-24.9999982537699
25,12.1,-23.9999983236192
26,11.1,-24.4999982886953
27,12.1,-23.9999983236191
28,11.1,-24.9999982537708
29,12.1,-22.9999983934683
30,11.1,-25.9999981839215
31,11.1,-24.9999982537707
