"Sweep (n)","Negative dV/dt max x (ms)","Negative dV/dt max y (V/s)"
94,20.1,-54.4999961932165
95,20.1,-55.9999960884426
96,20.1,-55.9999960884426
97,20.1,-55.9999960884426
98,20.1,-56.499996053518
