"Sweep (n)","Negative dV/dt max x (ms)","Negative dV/dt max y (V/s)"
12,19.5,-24.4999982886945
13,19.3,-23.99999832362
14,19.3,-22.9999983934692
15,19.5,-24.4999982886945
16,19.5,-24.4999982886945
17,19.4,-23.4999983585436
18,19.5,-23.9999983236192
19,19.5,-23.4999983585437
20,19.5,-24.4999982886945
21,19.3,-23.99999832362
