"Sweep (n)","APD","APD value (ms)","APD value (mV)"
138,"APD 20",44.16,30.8227524422478
138,"APD 50",143.4,-8.54492146913801
138,"APD 90",183,-60.7299775842308
139,"APD 20",45.12,30.5175766754929
139,"APD 50",145.82,-8.54492146913801
139,"APD 90",186.24,-60.7299775842308
140,"APD 20",42.1,31.4331039757577
140,"APD 50",146.78,-8.23974570238308
140,"APD 90",187.08,-60.7299775842308
141,"APD 20",43.56,31.1279282090027
141,"APD 50",144.74,-8.23974570238308
141,"APD 90",185.58,-60.7299775842308
142,"APD 20",46.64,30.5175766754929
142,"APD 50",145.5,-8.54492146913801
142,"APD 90",184.6,-60.7299775842308
