"Sweep (n)","APD","APD value (ms)","APD value (mV)"
73,"APD 10",12.6,42.89856052917
73,"APD 20",32.4,29.6203619901917
73,"APD 50",88.2,-10.0952150693956
73,"APD 70",103,-36.4257820641797
73,"APD 90",111.2,-62.7166762065145
74,"APD 10",12.6,42.7581796666573
74,"APD 20",31.8,29.6478278111181
74,"APD 50",87,-10.0372316696621
74,"APD 70",101.6,-36.4501961272254
74,"APD 90",109.8,-62.7044691749916
75,"APD 10",12.4,42.7886972454644
75,"APD 20",31.2,29.6234137480724
75,"APD 50",86.4,-10.0189211223778
75,"APD 70",101.4,-36.4868172217939
75,"APD 90",109.6,-62.5274672179103
76,"APD 10",12.4,42.825318340033
76,"APD 20",31.8,29.638672537476
76,"APD 50",86.6,-9.94567893324075
76,"APD 70",101.2,-36.5356453478853
76,"APD 90",109.4,-62.7288832380373
77,"APD 10",12.6,42.7337656036116
77,"APD 20",32,29.6447760532374
77,"APD 50",86,-10.02807639602
77,"APD 70",100.6,-36.2487801070984
77,"APD 90",108.8,-62.4450697551311
