"Sweep (n)","APD","APD value (ms)","APD value (mV)"
380,"APD 20",1.8,28.5499980058056
380,"APD 50",10.4,-11.749999179272
380,"APD 90",31.9,-65.4999954248781
381,"APD 20",1.8,29.1999979604037
381,"APD 50",10.4,-11.3999992037192
381,"APD 90",31.9,-65.4499954283705
382,"APD 20",1.8,28.8999979813584
382,"APD 50",10.5,-11.5999991897494
382,"APD 90",32.1,-65.4499954283705
383,"APD 20",1.9,28.4499980127906
383,"APD 50",10.6,-11.8499991722871
383,"APD 90",32.1,-65.6499954144007
384,"APD 20",2,27.6999980651774
384,"APD 50",10.5,-12.1999991478399
384,"APD 90",32.2,-65.7499954074158
