"File Name","Ediast (mV)","Peak (mV)","APA (mV)","dV/dt max y (V/s)","Negative dV/dt max y (V/s)","STV","APD 20 (ms)","APD 50 (ms)","APD 90 (ms)"
"18711001",-77.01749462039,60.8699957482798,137.88749036867,205.649985635515,-59.8999958160338,0.341768277573498,0.590000000000001,7.21,30.63
"18711006",-69.6517451348817,72.6049949285996,142.256740063481,205.399985652977,-65.8499954004311,0.280485689870664,0.590000000000001,5.37,27.75
"18711020",-78.3432445277875,50.7849964527089,129.128240980496,351.849975423564,-35.2999975343238,0.271057599454842,0.830000000000001,4.6,28.73
"18711024",-76.0324946891915,62.6799956218528,138.712490311044,213.749985069736,-83.099994195532,0.202703943940143,0.490000000000002,1.19,18.54
"18711028",-78.1432445417573,49.7599965243043,127.903241066062,358.399974966052,-31.8999977718108,0.36533850361305,1.01,6.73,36.07
"18711032",-72.1009949638036,52.7649963144075,124.865991278211,356.549975095271,-32.8999977019617,0.457262385167301,1.02,6.58,36.58
"18712005",-76.3519946668747,54.0749962229051,130.42699088978,355.749975151146,-25.8999981909061,0.579827560572968,2.79,13.28,40.72
"18712011",-78.6022445096965,60.7599957559632,139.36224026566,348.499975657559,-66.0999953829688,0.226274169979696,0.510000000000002,3.55,19.87
"18712018",-74.2997448102226,54.1149962201111,128.414741030334,353.749975290844,-31.8636341379873,0.329983164553721,1.1,6.64,38.12
"18712022",-71.1967450269647,70.7099950609638,141.906740087928,286.949979956775,-56.8999960255809,0.282842712474618,0.63,7.32,29.75
"18712027",-74.6439947861771,58.7699958949631,133.41399068114,372.499973981177,-29.4499979429415,0.233345237791562,2.14,9.82,27.52
"18712033",-75.4137447324107,52.7099963182492,128.12374105066,367.599974323438,-15.2999989313075,0.643467170879758,4.4,18.33,47.47
"18712037",-72.0052293454927,77.819994564336,149.825223909829,289.549979775168,-101.899992882368,0.388908729652601,0.61,10.96,41.5
"18712041",-74.6199947878535,60.5749957688853,135.194990556739,367.999974295499,-39.0499972723887,1.15494107593803,0.95,5.3,24.22
"18713001",-76.6612446452738,60.5449957709808,137.206240416255,465.499967485204,-41.1999971222128,0.207417989148055,1.57,9.17,27.07
"18713005",-71.8059949844091,66.1099953822701,137.915990366679,380.549973418892,-40.2999971850778,1.26807816092787,3.49,42.36,88.67
"18713009",-77.4789945881546,62.8749956082322,140.353990196387,489.149965833262,-56.3999960605048,0.266343554246933,2.03,12.92,29.27
"18713013",-76.430744661374,66.6149953469962,143.04574000837,421.699970544597,-68.0999952432695,0.21920310216783,0.53,3.48,21.03
"18713018",-78.9059944884798,65.0599954556117,143.965989944092,458.999967939215,-76.5499946530448,0.716534871602369,0.479999999999998,3.97,34.83
"18713022",-77.3559945967461,75.1449947511826,152.500989347929,324.799977312984,-92.9999935040257,0.636396103067892,0.5,3.73,33.42
"18713026",-83.193744188984,57.3249959958952,140.518740184879,381.799973331581,-51.3499964132435,0.181490740504546,0.649999999999999,4.31,25.83
"18716002",-80.2162443969599,50.0249965057943,130.241240902754,411.849971232605,-38.4999973108068,0.537401153701777,1.2,6.9,36.57
"18716006",-82.2767442530357,55.1549961474679,137.431740400504,354.299975252429,-27.5999980721624,0.0919238815542505,1.14,4.97,19.38
"18716010",-77.6397445769264,73.429994870974,151.0697394479,430.549969926425,-69.14999516993,0.351196367989318,0.700000000000001,5.37,28.95
"18716017",-77.8732445606166,59.8549958191767,137.728240379793,411.49997125706,-32.7272704412993,0.311126983722081,1.03,5.41,28.95
"18716021",-89.1209937749704,61.3649957137045,150.485989488675,330.349976925324,-74.5499947927445,0.188561808316414,0.55,3.98,19.79
"18716024",-83.1749941902936,63.7749955453679,146.949989735662,266.499981385189,-75.6499947159091,0.497331769434538,0.500000000000001,3.89,27.97
