"Sweep (n)","Ediast (mV)"
686,-76.2949946708561
687,-76.2849946715546
688,-76.2749946722531
689,-76.2799946719038
690,-76.2774946720784
691,-76.2649946729515
692,-76.2399946746978
693,-76.2699946726023
694,-76.2974946706814
695,-76.2799946719038
