"Sweep (n)","APD","APD value (ms)","APD value (mV)"
70,"APD 20",1.3,31.5999977927656
70,"APD 50",11.3,-11.2999992107042
70,"APD 90",36,-68.4999952153305
71,"APD 20",1.3,31.7999977787958
71,"APD 50",11.3,-11.1499992211815
71,"APD 90",36,-68.3999952223154
72,"APD 20",1,34.1499976146502
72,"APD 50",11,-10.0499992980156
72,"APD 90",36.2,-68.2499952327928
73,"APD 20",1.2,32.6999977159315
73,"APD 50",11.1,-10.5999992595986
73,"APD 90",36,-68.449995218823
74,"APD 20",1.1,32.749997712439
74,"APD 50",11.1,-10.3499992770609
74,"APD 90",36.2,-68.2999952293003
