"File Name","Folder","Condition 1","Condition 2","Condition 3","Condition 4","variable","value"
"18712066","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","Ediast (mV)",-75.2149947462932
"18712072","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","Ediast (mV)",-75.4569947293897
"18713033","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","Ediast (mV)",-80.9289943471749
"18713038","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","Ediast (mV)",-76.6959946428465
"18713044","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","Ediast (mV)",-74.019994829763
"18716029","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","Ediast (mV)",-84.098994125753
"18716033","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","Ediast (mV)",-84.3719941066842
"18716037","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","Ediast (mV)",-84.3369941091289
"18716042","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","Ediast (mV)",-85.1529940521319
"18716046","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","Ediast (mV)",-82.9369942069177
"18716051","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","Ediast (mV)",-84.9689940649842
"18716055","RN_CTR_2744_4Hz","RN","CTR","2744","4Hz","Ediast (mV)",-80.670994365196
"18711043","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","Ediast (mV)",-70.1029951033622
"18711047","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","Ediast (mV)",-71.0779950352593
"18711051","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","Ediast (mV)",-71.6029949985885
"18711055","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","Ediast (mV)",-74.1819948184474
"18711059","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","Ediast (mV)",-73.2699948821499
"18711072","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","Ediast (mV)",-73.1499948905318
"18712050","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","Ediast (mV)",-71.4499950092754
"18712054","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","Ediast (mV)",-76.4279946615661
"18712063","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","Ediast (mV)",-72.912994907086
"18712067","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","Ediast (mV)",-76.6799946439641
"18712073","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","Ediast (mV)",-75.2589947432198
"18713034","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","Ediast (mV)",-80.9849943432634
"18713039","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","Ediast (mV)",-77.9959945520426
"18713045","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","Ediast (mV)",-72.9069949075051
"18716030","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","Ediast (mV)",-84.4549941008867
"18716034","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","Ediast (mV)",-85.696994014134
"18716043","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","Ediast (mV)",-88.1889938400698
"18716047","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","Ediast (mV)",-78.0839945458959
"18716052","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","Ediast (mV)",-85.6209940194425
"18716056","RN_CTR_2744_7.1Hz","RN","CTR","2744","7.1Hz","Ediast (mV)",-72.2349949544438
"18711000","RN_CTR_DMSO_1Hz","RN","CTR","DMSO","1Hz","Ediast (mV)",-74.2769948118117
"18711005","RN_CTR_DMSO_1Hz","RN","CTR","DMSO","1Hz","Ediast (mV)",-70.803995054398
"18711019","RN_CTR_DMSO_1Hz","RN","CTR","DMSO","1Hz","Ediast (mV)",-75.9199946970495
"18711023","RN_CTR_DMSO_1Hz","RN","CTR","DMSO","1Hz","Ediast (mV)",-73.6729948540006
"18711027","RN_CTR_DMSO_1Hz","RN","CTR","DMSO","1Hz","Ediast (mV)",-78.3069945303195
"18711031","RN_CTR_DMSO_1Hz","RN","CTR","DMSO","1Hz","Ediast (mV)",-68.7259951995446
"18712004","RN_CTR_DMSO_1Hz","RN","CTR","DMSO","1Hz","Ediast (mV)",-75.3209947388892
"18712008","RN_CTR_DMSO_1Hz","RN","CTR","DMSO","1Hz","Ediast (mV)",-73.9049948377956
"18712010","RN_CTR_DMSO_1Hz","RN","CTR","DMSO","1Hz","Ediast (mV)",-78.2729945326944
"18712017","RN_CTR_DMSO_1Hz","RN","CTR","DMSO","1Hz","Ediast (mV)",-73.5399948632906
"18712021","RN_CTR_DMSO_1Hz","RN","CTR","DMSO","1Hz","Ediast (mV)",-69.8879951183798
"18712026","RN_CTR_DMSO_1Hz","RN","CTR","DMSO","1Hz","Ediast (mV)",-74.0679948264102
"18712032","RN_CTR_DMSO_1Hz","RN","CTR","DMSO","1Hz","Ediast (mV)",-74.8589947711595
"18712036","RN_CTR_DMSO_1Hz","RN","CTR","DMSO","1Hz","Ediast (mV)",-72.9209949065272
"18712040","RN_CTR_DMSO_1Hz","RN","CTR","DMSO","1Hz","Ediast (mV)",-74.7479947789128
"18712044","RN_CTR_DMSO_1Hz","RN","CTR","DMSO","1Hz","Ediast (mV)",-72.2279949549327
"18713000","RN_CTR_DMSO_1Hz","RN","CTR","DMSO","1Hz","Ediast (mV)",-76.7739946373983
