Exp,Cell,Cm,Rs,File Name,APD 90 (ms),APD 50 (ms),APD 20 (ms),Ediast (mV),dV/dt max y (V/s),Peak (mV),Condition 1,Condition 2,Condition 3,Condition 4,Folder
Cvie_203_APD4,6,138,1.7,18215024,20.2407,11.6149,3.92991,-81.8652,202.294,41.148,GP,CTRL,Tyr,4Hz,GP_CTRL_Tyr_4Hz
Cvie_203_APD4,8,153,2.9,18215031,120.29,94.6806,37.2691,-90.2296,129.143,41.0385,GP,CTRL,Tyr,4Hz,GP_CTRL_Tyr_4Hz
Cvie_203_APD4,9,163.6,2.4,18215035,137.721,116.61,50.9854,-85.7763,204.17,48.2742,GP,CTRL,Tyr,4Hz,GP_CTRL_Tyr_4Hz
Cvie_203_APD4,13,175.9,2.3,18215051,91.9818,70.986,26.8536,-81.9845,246.575,50.3525,GP,CTRL,Tyr,4Hz,GP_CTRL_Tyr_4Hz
Cvie_203_APD4,17,121.1,1.8,18215066,61.1981,46.6237,20.8632,-78.8296,164.856,49.5316,GP,CTRL,Tyr,4Hz,GP_CTRL_Tyr_4Hz
Cvie_203_APD4,18,163.6,2.7,18215070,119.715,98.0536,42.6265,-100,249.153,33.4335,GP,CTRL,Tyr,4Hz,GP_CTRL_Tyr_4Hz
Cvie_216_APD1,4,103.5,3.5,18d03011,156.841,137.781,72.3138,-78.7753,276.147,58.2631,GP,CTRL,Tyr,0.5Hz,GP_CTRL_Tyr_0.5Hz
Cvie_216_APD1,5,103.5,3.5,18d03015,178.146,158.218,77.0243,-61.6018,362.432,54.7333,GP,CTRL,Tyr,0.5Hz,GP_CTRL_Tyr_0.5Hz
Cvie_216_APD1,6,234.5,3,18d03019,207.641,183.852,91.6594,-83.9368,367.008,55.3162,GP,CTRL,Tyr,0.5Hz,GP_CTRL_Tyr_0.5Hz
Cvie_216_APD2,6,74.85,2.9,18d12020,173.31,151.454,79.8977,-80.2785,233.927,54.7394,GP,CTRL,Tyr,0.5Hz,GP_CTRL_Tyr_0.5Hz
Cvie_216_APD2,7,92.5,3.3,18d12024,146.026,122.622,53.5998,-84.8801,224.588,51.2553,GP,CTRL,Tyr,0.5Hz,GP_CTRL_Tyr_0.5Hz
