"Sweep (n)","APD","APD value (ms)","APD value (mV)"
783,"APD 20",2.6,-9.64999932595532
783,"APD 50",7.9,-34.1499976146502
783,"APD 90",29.8,-66.8499953305817
784,"APD 20",2.6,-9.89999930849302
784,"APD 50",7.9,-34.4499975936954
784,"APD 90",29.8,-66.8999953270892
785,"APD 20",2.5,-9.59999932944778
785,"APD 50",7.9,-33.9999976251275
785,"APD 90",29.8,-66.8499953305817
786,"APD 20",2.5,-9.69999932246286
786,"APD 50",7.9,-34.2999976041728
786,"APD 90",29.9,-66.7999953340741
787,"APD 20",2.5,-9.94999930500056
787,"APD 50",8,-34.599997583218
787,"APD 90",30,-66.8499953305817
