"Sweep (n)","APD","APD value (ms)","APD value (mV)"
99,"APD 20",11,5.549999612337
99,"APD 50",41.5,-25.4499982223381
99,"APD 90",92.1,-66.9999953201043
100,"APD 20",11.6,4.84999966123143
100,"APD 50",41.8,-25.9499981874135
100,"APD 90",91.7,-67.0499953166118
101,"APD 20",11.1,5.04999964726159
101,"APD 50",42.1,-25.8499981943984
101,"APD 90",91.7,-67.0499953166118
102,"APD 20",11.6,4.74999966821635
102,"APD 50",43.2,-25.9499981874135
102,"APD 90",92.1,-66.9999953201043
103,"APD 20",12.1,4.14999971012586
103,"APD 50",44.2,-26.3999981559814
103,"APD 90",91.8,-67.0999953131194
