"Sweep (n)","APD","APD value (ms)","APD value (mV)","Absolute Time (s)"
34,"APD 90",125.75,-43.9758269654933,11089.9
35,"APD 20",29.1499999999996,22.1862777265188,11272.1
35,"APD 50",63.1499999999996,-5.31005821790134,11306.1
35,"APD 90",115.4,-41.9311493758416,11358.35
36,"APD 20",31.2000000000007,22.2473128784487,11536.05
36,"APD 50",66.6499999999996,-5.82885700930549,11571.5
36,"APD 90",127.6,-43.2434051423345,11632.45
37,"APD 20",27.75,21.1486801437105,11792.7
37,"APD 50",62.5499999999993,-5.82885700930549,11827.5
37,"APD 90",119.799999999999,-41.7480439200519,11884.75
38,"APD 20",34.6999999999989,23.7426741007313,12111
38,"APD 50",74.9499999999989,-5.64575155351579,12151.25
38,"APD 90",126.049999999999,-44.8303190925119,12202.35
39,"APD 20",30.7999999999993,23.3764631891519,12410.6
39,"APD 50",71.1499999999996,-5.46264609772609,12450.95
39,"APD 90",128.049999999999,-43.9453093895283,12507.85
40,"APD 20",32.2000000000007,21.8811019668693,12689.4
40,"APD 50",71.6000000000004,-5.58471640158589,12728.8
40,"APD 90",135.75,-42.2363251354911,12792.95
41,"APD 20",24.8500000000004,18.8598619463392,12948.4
41,"APD 50",55.3999999999996,-6.28662064877975,12978.95
41,"APD 90",114.799999999999,-39.7949190582951,13038.35
42,"APD 20",22.75,17.3950183000216,13189.1
42,"APD 50",50.0500000000011,-6.16455034491995,13216.4
42,"APD 90",100.950000000001,-37.6281711647836,13267.3
43,"APD 20",26.6999999999989,21.0266098398507,13463.6
43,"APD 50",60,-5.37109336983124,13496.9
43,"APD 90",107,-40.3747530016292,13543.9
44,"APD 20",31.2999999999993,22.705076517923,13725.75
44,"APD 50",67.8500000000004,-5.73730428141064,13762.3
44,"APD 90",128.4,-43.6096160539139,13822.85
45,"APD 20",29.4500000000007,21.2097152956404,13997.2
45,"APD 50",63.8500000000004,-5.61523397755084,14031.6
45,"APD 90",116.900000000001,-41.4428681604024,14084.65
46,"APD 20",24.3500000000004,20.0500474089723,14245.55
46,"APD 50",56.1499999999996,-5.64575155351579,14277.35
46,"APD 90",107.4,-39.855954210225,14328.6
47,"APD 20",26.1000000000004,19.653318921428,14487.1
47,"APD 50",58.25,-5.82885700930549,14519.25
47,"APD 90",177.700000000001,-37.3535129810991,14638.7
48,"APD 20",17.3499999999985,7.20214792772826,14754.25
