"Sweep (n)","dV/dt max x (ms)","dV/dt max y (V/s)"
15,18.8,162.139896202235
16,18.8,166.641239076285
17,18.8,168.319705910677
18,18.8,166.870120917338
19,18.8,162.872318093606
