"Sweep (n)","Ediast (mV)"
15,-78.2749945325547
16,-78.2724945327293
17,-78.2599945336024
18,-78.2624945334278
19,-78.2899945315069
20,-78.2649945332532
21,-78.2499945343009
22,-78.2049945374441
23,-78.1599945405873
24,-78.2224945362217
