"File Name","Folder","Condition 1","Condition 2","Condition 3","Condition 4","variable","value"
"14731028","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","APA (mV)",113.90380318361
"14116027","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","APA (mV)",108.178705799287
"14116030","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","APA (mV)",115.191644919315
"14121001","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","APA (mV)",84.637447151812
"14121028","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","APA (mV)",106.024164885997
"14204059","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","APA (mV)",94.8791458841074
"14204067","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","APA (mV)",114.697260177172
"14205008","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","APA (mV)",120.196527494096
"14205014","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","APA (mV)",121.496576260472
"14206023","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","APA (mV)",124.084466762554
"14731026","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","APA (mV)",107.171625768996
"14116026","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","dV/dt max y (V/s)",24.1088855736394
"14116029","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","dV/dt max y (V/s)",36.3769513971875
"14121000","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","dV/dt max y (V/s)",18.1884756985938
"14121027","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","dV/dt max y (V/s)",19.7346995834854
"14204058","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","dV/dt max y (V/s)",21.8709299507699
"14204068","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","dV/dt max y (V/s)",63.1103485649193
"14205006","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","dV/dt max y (V/s)",83.8623007042545
"14205013","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","dV/dt max y (V/s)",96.1914016811536
"14206021","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","dV/dt max y (V/s)",97.4121047481733
"14731025","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","dV/dt max y (V/s)",84.9609334645746
"14731028","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","dV/dt max y (V/s)",88.1347614388235
"14116027","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","dV/dt max y (V/s)",27.9744452858685
"14116030","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","dV/dt max y (V/s)",36.9873029306974
"14121001","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","dV/dt max y (V/s)",17.8745806242173
"14121028","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","dV/dt max y (V/s)",20.0195302991233
"14204059","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","dV/dt max y (V/s)",20.3857412192293
"14204067","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","dV/dt max y (V/s)",64.6972625520449
"14205008","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","dV/dt max y (V/s)",99.1210890420009
"14205014","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","dV/dt max y (V/s)",92.7734330934984
"14206023","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","dV/dt max y (V/s)",104.61425284359
"14731026","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","dV/dt max y (V/s)",74.3408167815007
"14116026","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","Negative dV/dt max y (V/s)",-12.2070306701972
"14116029","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","Negative dV/dt max y (V/s)",-13.3056634305149
"14121000","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","Negative dV/dt max y (V/s)",-12.1053054146122
"14121027","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","Negative dV/dt max y (V/s)",-5.61523410829069
"14204058","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","Negative dV/dt max y (V/s)",-10.2539057629656
"14204068","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","Negative dV/dt max y (V/s)",-8.74837198030797
"14205006","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","Negative dV/dt max y (V/s)",-9.25699825823284
"14205013","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","Negative dV/dt max y (V/s)",-11.4949538811023
"14206021","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","Negative dV/dt max y (V/s)",-18.9208975388056
"14731025","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","Negative dV/dt max y (V/s)",-20.3857412192292
"14731028","HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz","Negative dV/dt max y (V/s)",-21.8505848996529
"14116027","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","Negative dV/dt max y (V/s)",-12.817382203707
"14116030","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","Negative dV/dt max y (V/s)",-13.6718743506208
"14121001","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","Negative dV/dt max y (V/s)",-7.32421840211829
"14121028","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","Negative dV/dt max y (V/s)",-5.49316380158872
"14204059","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","Negative dV/dt max y (V/s)",-9.76562453615773
"14204067","HS_Atrial_Tyr_1Hz","HS","Atrial","Tyr","1Hz","Negative dV/dt max y (V/s)",-8.54492146913801
