"File Name","Ediast (mV)","Peak (mV)","APA (mV)","dV/dt max y (V/s)","Negative dV/dt max y (V/s)","SD1","SD2","SD1_SD2 Ratio","APD 20 (ms)","APD 50 (ms)","APD 70 (ms)","APD 90 (ms)","Folder","Condition 1","Condition 2","Condition 3","Condition 4"
"14116026",-78.9855919515107,26.5502917076788,105.535883659189,24.1088855736394,-12.2070306701972,9.13346259032624,0.281273946360153,32.4717689232099,2,9.1,48.8,299.9,"HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz"
"14116029",-86.4746052676767,28.0151353881025,114.489740655779,36.3769513971875,-13.3056634305149,7.78995970607179,0.160948275862069,48.400392389091,2.7,10.3,54.7,219.4,"HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz"
"14121000",-75.1403772903986,10.4980463763696,85.6384236667681,18.1884756985938,-12.1053054146122,4.38406204335659,0.470000000000001,9.32779158160976,2.59999999999999,15.1,38.1,126.1,"HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz"
"14121027",-86.2976033229588,19.3481436122625,105.645746935221,19.7346995834854,-5.61523410829069,14.4249783362056,2.28,6.32674488430069,4.59999999999999,19.3,42.3,153.4,"HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz"
"14204058",-83.4716757228082,16.0522453313093,99.5239210541174,21.8709299507699,-10.2539057629656,0.565685424949238,0.04,14.1421356237309,6.3,22.8,68.4,153.3,"HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz"
"14204068",-76.1962854433706,37.8417950776112,114.038080520982,63.1103485649193,-8.74837198030797,3.53553390593274,0.32,11.0485434560398,3.1,13.4,47.9,125.2,"HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz"
"14205006",-78.6987267307611,29.7851548352811,108.483881566042,83.8623007042545,-9.25699825823284,9.47523086789974,0.71,13.3453955885912,2.7,11.7,73.7,281.4,"HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz"
"14205013",-81.5002402695713,34.9121077167639,116.412347986335,96.1914016811536,-11.4949538811023,2.54558441227157,0.819999999999999,3.10437123447753,2.6,11.8,71.7,254.4,"HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz"
"14206021",-63.9099090738172,60.180661204072,124.090570277889,97.4121047481733,-18.9208975388056,0.353553390593282,0.0500000000000011,7.07106781186548,1.6,5.6,18,78.6,"HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz"
"14731025",-60.9497041362944,46.3256813933982,107.275385529693,84.9609334645746,-20.3857412192292,0.424264068711929,0.1,4.24264068711929,1.5,4.8,10.3,40.1,"HS_Atrial_Tyr_0.5Hz","HS","Atrial","Tyr","0.5Hz"
