"File Name","Ediast (mV)","Peak (mV)","APA (mV)","dV/dt max y (V/s)","Negative dV/dt max y (V/s)","SD1","SD2","SD1_SD2 Ratio","APD 20 (ms)","APD 50 (ms)","APD 90 (ms)","Folder","Condition 1","Condition 2","Condition 3","Condition 4"
"17421003",-75.0919816589053,62.8973402730526,137.989321931958,215.167241137485,-4.11376962320015,2.786000717875,13.8145555555556,0.201671397003764,96.44,183.08,206,"GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz"
"17421040",-79.2172258917367,56.8035901368467,136.020816028583,229.989629164106,-52.9144298936664,0.0989949493661161,0.934333333333333,0.105952496645861,56.24,93.12,105.08,"GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz"
"17502010",-68.2194229115417,67.6135269019051,135.832949813447,278.976446665293,-6.76472996891189,3.08769961118126,9.86988888888889,0.312840361825883,64.4,122.56,137.72,"GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz"
"17n30003",49.841306226415,51.1474585081261,1.30615228171109,128.173822037086,-169.754020257843,0.00377123616632826,0.000511111111111111,7.37850554281616,398.904,0.144,0.072,"GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz"
"17n30007",-73.0529750457949,59.5703096705621,132.623284716357,378.417950776136,-171.237513568171,8.73606857929941,18.5336,0.471363824583427,51.036,249.264,299.788,"GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz"
"17n30012",-75.7446253085733,57.8002902233835,133.544915531957,335.693343430393,-177.383414426669,6.10893118493098,18.0655222222222,0.338154143001548,62.668,204.188,232.572,"GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz"
"18215005",-81.8623065172651,55.9423840629097,137.804690580175,280.41992814288,-101.779177079628,1.74891077213474,14.5561111111111,0.120149589322641,110.24,198.2,218.8,"GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz"
"18215021",-84.6541766968558,50.2880870615263,134.942263758382,212.32910630843,-54.2236340244919,1.04651803615609,6.20555555555556,0.168642118628555,29.08,76.84,94.28,"GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz"
"18215028",-90.5805073957259,46.2921152925219,136.872622688248,279.772955472159,-10.7269289507029,2.93685016452812,17.0127777777778,0.172626140356942,119.44,222.48,244.64,"GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz"
"18215032",-85.8427143210779,53.1317150547739,138.974429375852,276.956182948262,-39.0533455994722,3.87494516090228,25.1797777777778,0.153891158019754,226.24,350.68,371.12,"GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz"
"18215048",-81.5529803384761,54.9926770104321,136.545657348908,302.743537040289,-43.4814462843855,2.51730014102411,11.4768888888889,0.219336456542782,82,168.68,189.08,"GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz"
"18215062",-75.2740495340686,58.1939710272991,133.468020561368,253.750616023334,-26.2023931637937,2.03646752981726,9.272,0.219636273707642,52.52,109.88,125.52,"GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz"
"18215067",-97.3027365498857,41.4385995590374,138.741336108923,260.360723592959,-107.254030717625,4.16250191858481,17.7596666666667,0.234379507043196,153.24,257.32,278.04,"GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz"
"18d03011",-78.4894426723445,58.5974134191293,137.086856091474,310.495002057287,-70.8313004113269,2.22031529292576,10.9027777777778,0.203646752981726,79.88,148.64,167.84,"GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz"
"18d03015",-84.2497577425038,54.5733654776223,138.823123220126,311.047370233696,-5.1818848814493,3.48839345385363,11.6557777777778,0.299284485373803,75.88,160.12,180.08,"GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz"
"18d03019",-83.9049091019833,55.3344738930719,139.239382995055,361.520393822806,-126.898196195769,2.21560124771785,15.7111111111111,0.141021295823625,91.8,182.88,206.48,"GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz"
"18d12020",-80.2661150753375,54.6698010266528,134.93591610199,237.472539487617,-28.1188971128809,1.97989898732232,11.4362222222222,0.173125263644763,73.16,142.64,164.04,"GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz"
"18d12024",-84.797182071146,51.2280284887857,136.025210559932,233.08411165515,-43.3685312427991,1.92333044482741,9.41844444444444,0.204208928148629,50.92,119.24,142.52,"GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz"
"18d12052",-78.9212664124653,54.5599377429471,133.481204155412,152.001956522506,-26.4617925836543,2.56444059310322,13.9126666666667,0.184324159741953,94.64,184.08,206.6,"GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz"
"19307004",-73.367916437086,54.5654270957813,127.933343532867,187.652578977606,-5.08626277924887,3.23854905783438,12.4485555555556,0.260154605358136,67.96,159.68,181.8,"GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz"
"19307005",-80.256227379804,54.1986096098708,134.454836989675,311.090094844035,-26.8127447399361,4.47362890230689,12.4485555555556,0.359369316571865,53.24,146.24,171.12,"GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz"
"19307009",-83.1502093780832,53.6157238546548,136.765933232738,226.913457220348,-68.5211196956279,2.31459619708396,11.0527777777778,0.209413076388597,70.28,144.88,164.96,"GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz"
"19314011",-68.820187160904,58.3007784808616,127.120965641766,189.117422658027,-9.46044876940267,3.03584511389425,22.9888888888889,0.132057061503375,209.68,345.28,371.16,"GP_CTRL_Tyr_0.5Hz","GP","CTRL","Tyr","0.5Hz"
"17421004",-70.5044571423037,61.9512953300319,132.455752472336,203.2196090345,-4.20379648068086,2.24859956417322,11.7143333333333,0.191952841035759,70.6,162.92,185.36,"GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz"
"17421041",-77.9468401211539,54.8260510301452,132.772891151299,213.720707902028,-56.6650403290625,0.678822509939086,5.88266666666667,0.115393672360452,38.6,67.24,78.04,"GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz"
"17502011",-67.0966201520701,67.081910679085,134.178530831155,263.720709019613,-6.83898941067635,1.7819090885901,7.49577777777778,0.23772170699521,48,96.96,111.8,"GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz"
"17n30004",-76.3183557500726,60.05859089737,136.376946647443,384.012839833282,-162.298021410676,3.61897250611275,11.0605888888889,0.327195282499674,37.524,145.2,184.516,"GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz"
"17n30008",-72.9553188004333,57.1899386898737,130.145257490307,384.521466111219,-177.001944717935,4.68764655474602,13.8310444444444,0.338922094681643,30.648,151.02,202.816,"GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz"
"17n30013",-74.8168909776384,57.3730441499266,132.189935127565,295.003241196438,-173.950187050137,4.02249477590987,16.1603666666667,0.248911108199476,56.268,184.484,217.824,"GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz"
"18215006",-82.2660540848833,54.2688000411272,136.534854126011,274.166876245296,-126.657107323195,1.54149278298668,11.6978888888889,0.131775297032514,74.52,153.04,174.16,"GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz"
"18215022",-85.2722797380152,49.5477305996656,134.820010337681,252.41394607158,-90.8020039827083,1.39064333633355,7.93966666666666,0.175151350140671,42.92,98.92,117.56,"GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz"
"18215029",-90.4382344433271,44.9774179975111,135.415652440838,209.14612283884,-4.00390633949439,3.50724963468528,15.33,0.228783407350638,91.4,191.16,215.6,"GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz"
"18215033",-87.6057758839229,50.6585704682448,138.264346352168,288.400275000932,-15.0207522888651,2.6964338589247,18.8708888888889,0.142888545144916,189.48,316.4,339.28,"GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz"
"18215049",-81.4598406879568,54.1156017955155,135.575442483472,262.149053711051,-59.3841566007771,1.74419672692682,9.48533333333333,0.183883545852561,46.88,117,137.64,"GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz"
"18215063",-77.6497820090454,57.130738581659,134.780520590704,230.364995383436,-47.7355967700989,1.15494107593803,9.303,0.124147164993876,64.96,124.12,139.52,"GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz"
"18215068",-99.3450949939734,38.7786873902087,138.123782384182,274.111944603443,-131.353762701611,2.82371307953828,15.297,0.184592605055781,119.6,211.68,232.32,"GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz"
"18d03012",-77.6748064236672,58.0676282510376,135.742434674705,290.124518203539,-81.3293475209778,1.65462986797652,9.18277777777778,0.180188381774925,55.08,116.08,135,"GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz"
"18d03016",-84.525026303344,54.0374767937692,138.562503097113,363.079842099837,-35.3912361426184,2.470159688945,10.6006666666667,0.233019277618861,63,140.08,159.68,"GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz"
"18d03020",-83.1138324241452,54.6307385257797,137.744570949925,334.384162747507,-149.920657647863,2.31931024229188,11.0004444444444,0.210837866961203,65.28,157,183.12,"GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz"
"18d12021",-80.1970843120758,54.4934094211476,134.690493733223,225.708012857468,-27.2491461168785,2.1448905695992,10.6456666666667,0.201480154954992,64.48,136.08,158.76,"GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz"
"18d12025",-82.2196063299389,49.3377696574726,131.557375987411,248.092656912487,-5.24902355482492,43.2890771442404,11.8221111111111,3.661704473709,28.24,91.24,122.96,"GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz"
"18d12053",-79.6337908424539,53.518067602472,133.151858444926,166.809085759721,-4.06494149710853,2.0128973037777,12.887,0.156195957459277,78.64,168.6,193.2,"GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz"
"19307005",-63.0444305993002,50.5798315819619,113.624262181262,115.600580446767,-5.18798803483395,1.26336411571997,10.2691111111111,0.123025654513857,98.28,195.2,214.12,"GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz"
"19307006",-83.0958880878066,53.0657970845505,136.161685172357,330.529792544162,-4.9133301879469,2.88970971244903,11.4332222222222,0.252746745955172,49.8,145.44,171.8,"GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz"
"19307010",-74.2270524403539,52.956544152421,127.183596592775,165.368656040028,-6.50634780167841,1.59334728027368,9.48888888888889,0.16791716068458,54,125.44,141.96,"GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz"
"19314012",-68.8696256351183,55.2185032366368,124.088128871755,214.569081605391,-4.2724607345697,2.44187541769754,19.9657777777778,0.122303044984072,131.32,237.76,263.68,"GP_CTRL_Tyr_1Hz","GP","CTRL","Tyr","1Hz"
"17421005",-75.5975969045817,60.9161390568943,136.513735961476,159.03015492179,-3.8706462453697,1.70648436526353,10.4628888888889,0.163098775432447,63.72,146.2,170.6,"GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz"
"17421042",-76.546083253907,54.2596447674851,130.805728021392,211.318974449909,-49.5605479827643,0.29227080289044,4.44488888888889,0.0657543552148276,26.76,51.44,62.12,"GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz"
"17502012",-65.893678230651,66.2915053879806,132.185183618632,219.235234392476,-6.48803725439413,1.051232081364,6.41433333333333,0.163887971942628,39.12,80.2,95.44,"GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz"
"17n30005",-75.7263147625681,59.3261690571582,135.052483819726,391.642234002161,-170.89842938274,2.52154278171122,10.8340777777778,0.232741801695689,32.716,118.192,161.176,"GP_CTRL_Tyr_2Hz","GP","CTRL","Tyr","2Hz"
