"Sweep (n)","Ediast (mV)"
1,-26.2603741178397
2,-27.7435283097363
3,-26.9988994561915
4,-26.0009747221376
5,-27.0538310929284
6,-28.1219462517016
7,-28.6590555886848
8,-27.7313212793503
9,-29.3457010478961
10,-30.6152322080381
11,-30.6488015415995
12,-30.8044411790208
13,-31.5093971838111
14,-30.2307107508797
15,-29.0466288034396
16,-29.6264627467737
17,-29.0161112274747
18,-31.8328834890396
19,-31.8542457922151
20,-33.8958716242702
21,-31.9488502777064
22,-31.3629128191794
23,-31.4453102742847
24,-31.5124489414076
25,-31.6436745180569
26,-29.0557840762291
27,-29.7759988690019
28,-30.1055886894234
29,-29.7088602018791
30,-31.600949911706
31,-31.909177428952
32,-34.1796850807443
