"Sweep (n)","APD","APD value (ms)","APD value (mV)"
160,"APD 20",2.9,29.8999979115092
160,"APD 50",12.5,-8.44999940977435
160,"APD 90",31.1,-59.7499958265109
161,"APD 20",2.9,30.0999978975394
161,"APD 50",12.6,-8.24999942374418
161,"APD 90",31.2,-59.5499958404807
162,"APD 20",2.8,30.4999978695997
162,"APD 50",12.4,-8.1499994307291
162,"APD 90",31.2,-59.6499958334958
163,"APD 20",2.8,30.5499978661073
163,"APD 50",12.3,-8.39999941326681
163,"APD 90",31.1,-59.6499958334958
164,"APD 20",2.8,30.1499978940469
164,"APD 50",12.5,-8.44999940977435
164,"APD 90",31.1,-59.7499958265109
