"File Name","Ediast (mV)","Peak (mV)","APA (mV)","dV/dt max y (V/s)","Negative dV/dt max y (V/s)","SD1","SD2","SD1_SD2 Ratio","APD 10 (ms)","APD 20 (ms)","APD 50 (ms)","APD 70 (ms)","APD 90 (ms)"
"17421005",-75.5975969045817,60.9161390568943,136.513735961476,159.03015492179,-3.8706462453697,1.70648436526353,0.0567407407407408,30.0751160979865,16.32,63.72,146.2,162.2,170.6
"17421042",-76.546083253907,54.2596447674851,130.805728021392,211.318974449909,-49.5605479827643,0.29227080289044,0.0634222222222222,4.60833431326903,11.24,26.76,51.44,58.32,62.12
"17502012",-65.893678230651,66.2915053879806,132.185183618632,219.235234392476,-6.48803725439413,1.051232081364,0.0447777777777778,23.4766469783523,13.04,39.12,80.2,90.6,95.44
"17n30005",-75.7263147625681,59.3261690571582,135.052483819726,391.642234002161,-170.89842938274,2.52154278171122,0.108621481481481,23.2140341608314,8.336,32.716,118.192,149.26,161.176
"17n30009",-88.5620075122804,-44.0673807194117,44.4946267928686,122.070306701974,-195.312490723185,7.19834703247905,0.660244444444444,10.9025484319463,0.155999999999999,0.191999999999998,0.319999999999999,1.104,2.412
"17n30014",-73.8342250086875,57.0678683831717,130.902093391859,244.140613403961,-158.691398712525,2.5705688518735,0.104517777777778,24.5945609113404,10.388,44.316,145.248,173.988,185.3
"18215007",-81.4332903943946,52.8985607526875,134.331851147082,248.999029003061,-129.248049763918,0.933380951166243,0.0406666666666668,22.9519906024485,18.16,56.88,126.88,142.4,150.12
"18215023",-85.2317523933594,48.2531749066675,133.484927300027,245.034795516016,-82.0526141387059,0.985235448453258,0.0440666666666668,22.3578392235988,12.4,39,99.84,114.68,121.12
"18215030",-90.8604756637024,42.9119882638452,133.772463927548,221.966557695717,-4.05273446558556,1.418927607581,0.0404814814814815,35.0512766740046,19.88,60.72,136.76,152.12,159.92
"18215034",-86.9115009660609,48.9440928908607,135.855593856922,237.966924264291,-93.679811664219,1.41892760758101,0.0462592592592593,30.6733750237688,30.8,97.76,180.4,194.24,200.64
"18215050",-81.7440814169663,52.2973644501872,134.041445867154,278.289801142137,-64.6179213661978,1.16436916635384,0.0312222222222222,37.2929626234328,13,36.16,94.64,108.2,115.2
"18215065",-78.6024797842461,54.2346203528632,132.837100137109,179.501346785607,-5.84106458368271,0.843814092215944,0.0397703703703703,21.2171544885738,18.92,50.16,100.68,111,116.2
"18215069",-99.5639060340205,36.4453133146162,136.009219348637,253.027349405603,-155.075076708385,1.56506300902622,0.0484,32.3360125831865,27,81.2,160.44,174.96,182.36
"18d03013",-75.9542863656793,56.0351575024834,131.989443868163,318.679816693365,-20.2545170542862,1.15022703073012,0.0442222222222223,26.0101589863594,12.52,31.84,86.84,101.56,109.76
"18d03017",-83.3989886805189,51.911011902489,135.310000583008,276.992804042838,-5.07507335562429,1.93275853524323,0.0547259259259259,35.3170549888787,9.48,27.08,81.64,94.84,101.24
"18d03021",-82.6117572176104,54.5483410630004,137.160098280611,298.858649258135,-150.109866636466,1.40007142674936,0.046288888888889,30.2463822389444,20.2,57.72,148.4,166.44,176.68
"18d12022",-79.5961931853635,52.2857677702405,131.881960955604,220.175175819735,-35.9985359608798,1.38592929112563,0.0483407407407407,28.6700052561999,15.04,42.6,100.92,115.48,123.44
"18d12026",-83.4982318467997,48.2263194373172,131.724551284117,265.106207097459,-31.5460212129208,1.45192592403637,0.0561481481481482,25.858839016479,10.16,27.56,85.36,104.04,114
"18d12054",-79.6067522676308,52.3974621086745,132.004214376305,157.540897076003,-3.78112801420218,1.92804449003532,0.0848962962962962,22.7105842557167,22.28,59.64,142.08,160,168.76
"19307007_2",-74.671627312663,51.3183569375088,125.989984250172,164.031974630773,-34.729002256711,2.13074843397546,0.130518518518519,16.3252575815373,15.52,40.48,100.56,116.68,123.48
"19307007",-82.7709369086683,52.5329601585782,135.303897067247,197.247318861948,-4.78820811483742,2.23445742854949,0.0623407407407407,35.8426512421793,18.36,49.68,141.12,160.76,169.84
"19307011",-76.1333635181195,52.6800548884285,128.813418406548,236.074834378245,-76.6296403846805,1.23036579926459,0.0902444444444445,13.6337012969482,24.48,61.92,134.16,146.04,151.36
"19314013",-67.5988737423508,53.5888646421655,121.187738384516,198.028555047272,-4.08935527451642,4.15307382816899,0.219,18.9638074345616,21.44,58.12,140.32,159.2,167.6
