"Time (ms)","Sweep 9. Voltage (mV)","Sweep 10. Voltage (mV)","Sweep 11. Voltage (mV)","Sweep 12. Voltage (mV)","Sweep 13. Voltage (mV)"
0,-79.3456993562815,-78.7353478227716,-77.8198205225069,-79.3456993562815,-79.3456993562815
0.5,-79.3456993562815,-78.7353478227716,-78.1249962892618,-79.0405235895266,-79.6508751230364
1,-79.3456993562815,-78.7353478227716,-78.1249962892618,-79.0405235895266,-79.3456993562815
1.5,-79.3456993562815,-78.7353478227716,-78.1249962892618,-79.0405235895266,-79.3456993562815
2,-79.6508751230364,-78.7353478227716,-78.1249962892618,-79.0405235895266,-79.3456993562815
2.5,-79.3456993562815,-78.7353478227716,-78.1249962892618,-79.0405235895266,-79.3456993562815
3,-79.3456993562815,-78.7353478227716,-78.1249962892618,-79.3456993562815,-79.3456993562815
3.5,-79.6508751230364,-79.0405235895266,-78.1249962892618,-79.3456993562815,-79.6508751230364
4,-79.6508751230364,-79.0405235895266,-78.1249962892618,-79.3456993562815,-79.3456993562815
4.5,-79.6508751230364,-78.7353478227716,-78.1249962892618,-79.0405235895266,-79.3456993562815
5,-79.3456993562815,-78.7353478227716,-78.1249962892618,-79.0405235895266,-79.6508751230364
5.5,-79.3456993562815,-78.7353478227716,-78.1249962892618,-79.3456993562815,-79.3456993562815
6,-79.3456993562815,-78.7353478227716,-78.1249962892618,-79.0405235895266,-79.3456993562815
6.5,-79.3456993562815,-78.7353478227716,-78.1249962892618,-79.3456993562815,-79.3456993562815
7,-79.3456993562815,-78.7353478227716,-78.1249962892618,-79.3456993562815,-79.6508751230364
7.5,-79.3456993562815,-78.7353478227716,-78.1249962892618,-79.0405235895266,-79.3456993562815
8,-79.3456993562815,-78.4301720560167,-77.8198205225069,-79.0405235895266,-79.3456993562815
8.5,-79.3456993562815,-78.7353478227716,-77.8198205225069,-79.0405235895266,-79.6508751230364
9,-79.3456993562815,-78.7353478227716,-78.1249962892618,-79.0405235895266,-79.3456993562815
9.5,-79.3456993562815,-78.7353478227716,-78.1249962892618,-79.0405235895266,-79.3456993562815
10,-79.3456993562815,-78.7353478227716,-78.1249962892618,-79.0405235895266,-79.3456993562815
10.5,-79.3456993562815,-78.7353478227716,-77.8198205225069,-79.0405235895266,-79.3456993562815
11,-79.3456993562815,-78.4301720560167,-77.8198205225069,-79.0405235895266,-79.3456993562815
11.5,-79.3456993562815,-78.7353478227716,-77.8198205225069,-79.0405235895266,-79.3456993562815
12,-79.3456993562815,-78.4301720560167,-77.8198205225069,-79.0405235895266,-79.3456993562815
12.5,-79.3456993562815,-78.4301720560167,-77.8198205225069,-78.7353478227716,-79.3456993562815
13,-79.3456993562815,-78.4301720560167,-78.1249962892618,-78.7353478227716,-79.3456993562815
13.5,-79.3456993562815,-78.7353478227716,-77.8198205225069,-78.7353478227716,-79.0405235895266
14,-79.0405235895266,-78.4301720560167,-77.8198205225069,-78.7353478227716,-79.3456993562815
14.5,-79.0405235895266,-78.7353478227716,-77.8198205225069,-79.0405235895266,-79.3456993562815
15,-79.0405235895266,-78.4301720560167,-77.8198205225069,-78.7353478227716,-79.3456993562815
15.5,-79.3456993562815,-78.4301720560167,-77.8198205225069,-79.0405235895266,-79.3456993562815
16,-79.3456993562815,-78.7353478227716,-78.1249962892618,-79.0405235895266,-79.3456993562815
16.5,-79.3456993562815,-78.7353478227716,-78.1249962892618,-79.0405235895266,-79.3456993562815
17,-79.3456993562815,-78.7353478227716,-77.8198205225069,-79.0405235895266,-79.3456993562815
17.5,-79.3456993562815,-78.7353478227716,-78.1249962892618,-79.0405235895266,-79.3456993562815
18,-79.3456993562815,-78.7353478227716,-78.1249962892618,-79.0405235895266,-79.6508751230364
