"Time (ms)","Sweep 2. Voltage (mV)","Sweep 3. Voltage (mV)","Sweep 4. Voltage (mV)","Sweep 5. Voltage (mV)","Sweep 6. Voltage (mV)"
0,-82.0922812570759,-81.1767539568111,-82.0922812570759,-81.481929723566,-81.1767539568111
0.5,-82.0922812570759,-81.1767539568111,-82.0922812570759,-81.481929723566,-81.1767539568111
1,-81.7871054903209,-80.8715781900561,-82.0922812570759,-81.7871054903209,-81.1767539568111
1.5,-81.7871054903209,-80.8715781900561,-82.0922812570759,-81.481929723566,-81.1767539568111
2,-82.0922812570759,-80.8715781900561,-81.7871054903209,-81.481929723566,-81.1767539568111
2.5,-81.7871054903209,-80.8715781900561,-81.7871054903209,-81.7871054903209,-81.481929723566
3,-81.7871054903209,-80.5664024233012,-81.7871054903209,-81.481929723566,-81.481929723566
3.5,-82.0922812570759,-80.8715781900561,-81.7871054903209,-81.481929723566,-81.1767539568111
4,-81.7871054903209,-80.8715781900561,-81.7871054903209,-81.481929723566,-81.1767539568111
4.5,-81.7871054903209,-80.5664024233012,-81.7871054903209,-81.481929723566,-81.481929723566
5,-81.7871054903209,-80.8715781900561,-82.0922812570759,-81.481929723566,-81.481929723566
5.5,-81.7871054903209,-80.8715781900561,-81.7871054903209,-81.7871054903209,-81.481929723566
6,-81.7871054903209,-80.5664024233012,-81.7871054903209,-81.7871054903209,-81.481929723566
6.5,-81.481929723566,-80.5664024233012,-81.7871054903209,-81.7871054903209,-81.481929723566
7,-81.481929723566,-80.8715781900561,-82.0922812570759,-81.7871054903209,-81.481929723566
7.5,-81.481929723566,-80.8715781900561,-82.0922812570759,-81.7871054903209,-81.481929723566
8,-81.7871054903209,-80.5664024233012,-82.0922812570759,-81.7871054903209,-81.481929723566
8.5,-81.481929723566,-80.5664024233012,-82.0922812570759,-81.7871054903209,-81.481929723566
9,-81.481929723566,-80.8715781900561,-82.0922812570759,-81.7871054903209,-81.481929723566
9.5,-81.481929723566,-80.5664024233012,-82.0922812570759,-81.7871054903209,-81.7871054903209
10,-81.7871054903209,-80.8715781900561,-82.0922812570759,-81.7871054903209,-81.481929723566
10.5,-81.7871054903209,-80.8715781900561,-82.0922812570759,-82.0922812570759,-81.481929723566
11,-81.7871054903209,-80.5664024233012,-82.0922812570759,-81.7871054903209,-81.481929723566
11.5,-81.7871054903209,-80.5664024233012,-82.0922812570759,-82.0922812570759,-81.7871054903209
12,-81.7871054903209,-80.8715781900561,-82.3974570238308,-82.0922812570759,-81.481929723566
12.5,-81.7871054903209,-80.8715781900561,-82.0922812570759,-82.0922812570759,-81.481929723566
13,-81.7871054903209,-80.5664024233012,-82.0922812570759,-82.0922812570759,-81.481929723566
13.5,-81.481929723566,-80.5664024233012,-82.3974570238308,-82.0922812570759,-81.481929723566
14,-81.7871054903209,-80.8715781900561,-82.0922812570759,-82.0922812570759,-81.481929723566
14.5,-81.7871054903209,-80.8715781900561,-82.0922812570759,-81.7871054903209,-81.481929723566
15,-81.7871054903209,-80.8715781900561,-82.0922812570759,-81.7871054903209,-81.481929723566
15.5,-81.7871054903209,-80.8715781900561,-82.3974570238308,-81.7871054903209,-81.1767539568111
16,-81.7871054903209,-80.8715781900561,-82.0922812570759,-81.7871054903209,-81.481929723566
16.5,-81.7871054903209,-80.8715781900561,-82.0922812570759,-81.7871054903209,-81.1767539568111
17,-81.7871054903209,-80.8715781900561,-82.0922812570759,-81.7871054903209,-81.1767539568111
17.5,-81.7871054903209,-80.8715781900561,-82.0922812570759,-81.7871054903209,-81.1767539568111
18,-81.7871054903209,-80.8715781900561,-82.0922812570759,-81.7871054903209,-81.1767539568111
18.5,-81.7871054903209,-80.8715781900561,-82.0922812570759,-81.7871054903209,-81.1767539568111
19,-82.0922812570759,-80.8715781900561,-82.0922812570759,-81.481929723566,-81.1767539568111
19.5,-81.7871054903209,-80.5664024233012,-82.0922812570759,-81.481929723566,-81.1767539568111
20,-81.7871054903209,-80.5664024233012,-81.7871054903209,-81.481929723566,-81.1767539568111
20.5,-81.7871054903209,-80.5664024233012,-82.0922812570759,-81.481929723566,-81.1767539568111
21,-81.7871054903209,-80.5664024233012,-82.0922812570759,-81.481929723566,-81.1767539568111
