"Time (ms)","Sweep 5. Voltage (mV)","Sweep 6. Voltage (mV)","Sweep 7. Voltage (mV)","Sweep 8. Voltage (mV)","Sweep 9. Voltage (mV)"
0,-61.3403291177407,-60.7299775842308,-61.0351533509858,-60.4248018174759,-60.7299775842308
0.5,-61.3403291177407,-61.0351533509858,-61.0351533509858,-60.4248018174759,-60.7299775842308
1,-61.3403291177407,-61.0351533509858,-61.0351533509858,-60.4248018174759,-60.7299775842308
1.5,-61.3403291177407,-60.7299775842308,-61.0351533509858,-60.7299775842308,-61.0351533509858
2,-61.3403291177407,-60.7299775842308,-61.0351533509858,-60.4248018174759,-60.7299775842308
2.5,-61.3403291177407,-61.0351533509858,-61.3403291177407,-60.7299775842308,-60.7299775842308
3,-61.6455048844956,-61.0351533509858,-61.0351533509858,-60.7299775842308,-60.7299775842308
3.5,-61.3403291177407,-61.0351533509858,-61.3403291177407,-60.4248018174759,-61.0351533509858
4,-61.3403291177407,-61.0351533509858,-61.0351533509858,-60.4248018174759,-60.7299775842308
4.5,-61.3403291177407,-61.0351533509858,-61.0351533509858,-60.7299775842308,-60.7299775842308
5,-61.6455048844956,-61.3403291177407,-61.0351533509858,-60.7299775842308,-60.7299775842308
5.5,-61.6455048844956,-61.0351533509858,-61.3403291177407,-60.7299775842308,-61.0351533509858
6,-61.3403291177407,-61.0351533509858,-61.3403291177407,-60.7299775842308,-61.0351533509858
6.5,-61.6455048844956,-61.0351533509858,-61.0351533509858,-60.7299775842308,-61.0351533509858
7,-61.6455048844956,-61.0351533509858,-61.3403291177407,-60.7299775842308,-61.0351533509858
7.5,-61.6455048844956,-61.0351533509858,-61.0351533509858,-60.7299775842308,-61.0351533509858
8,-61.6455048844956,-61.0351533509858,-61.3403291177407,-60.7299775842308,-61.0351533509858
8.5,-61.6455048844956,-61.0351533509858,-61.3403291177407,-60.7299775842308,-61.0351533509858
9,-61.6455048844956,-61.0351533509858,-61.3403291177407,-61.0351533509858,-61.0351533509858
9.5,-61.6455048844956,-61.3403291177407,-61.0351533509858,-60.7299775842308,-61.0351533509858
10,-61.6455048844956,-61.0351533509858,-61.3403291177407,-60.7299775842308,-61.0351533509858
10.5,-61.3403291177407,-61.0351533509858,-61.0351533509858,-60.7299775842308,-61.0351533509858
11,-61.3403291177407,-61.0351533509858,-61.0351533509858,-60.7299775842308,-61.0351533509858
11.5,-61.6455048844956,-61.0351533509858,-61.0351533509858,-60.7299775842308,-61.0351533509858
12,-61.3403291177407,-61.0351533509858,-61.3403291177407,-60.7299775842308,-61.0351533509858
12.5,-61.3403291177407,-60.7299775842308,-61.0351533509858,-60.4248018174759,-61.0351533509858
13,-61.6455048844956,-61.0351533509858,-61.0351533509858,-60.7299775842308,-61.0351533509858
13.5,-61.6455048844956,-61.0351533509858,-61.0351533509858,-60.7299775842308,-61.0351533509858
14,-61.6455048844956,-61.0351533509858,-61.0351533509858,-60.7299775842308,-61.0351533509858
14.5,-61.3403291177407,-60.7299775842308,-61.0351533509858,-60.7299775842308,-61.0351533509858
15,-61.6455048844956,-61.0351533509858,-61.0351533509858,-60.4248018174759,-60.7299775842308
15.5,-61.6455048844956,-61.0351533509858,-61.0351533509858,-60.7299775842308,-60.7299775842308
16,-61.3403291177407,-61.0351533509858,-61.0351533509858,-60.7299775842308,-61.0351533509858
16.5,-61.3403291177407,-60.7299775842308,-61.0351533509858,-60.4248018174759,-61.0351533509858
17,-61.3403291177407,-60.7299775842308,-61.0351533509858,-60.4248018174759,-60.7299775842308
17.5,-61.3403291177407,-60.7299775842308,-61.0351533509858,-60.7299775842308,-60.7299775842308
18,-61.3403291177407,-60.7299775842308,-61.0351533509858,-60.7299775842308,-60.7299775842308
18.5,-61.3403291177407,-60.7299775842308,-61.0351533509858,-60.4248018174759,-60.7299775842308
19,-61.3403291177407,-60.7299775842308,-61.0351533509858,-60.4248018174759,-60.7299775842308
19.5,-61.3403291177407,-60.7299775842308,-61.0351533509858,-60.7299775842308,-60.7299775842308
20,-61.3403291177407,-60.7299775842308,-61.0351533509858,-60.4248018174759,-60.7299775842308
20.5,-61.3403291177407,-60.7299775842308,-61.0351533509858,-60.4248018174759,-60.7299775842308
21,-61.3403291177407,-60.7299775842308,-61.0351533509858,-60.7299775842308,-60.7299775842308
