"Sweep (n)","APD","APD value (ms)","APD value (mV)"
48,"APD 20",3.1,30.5999978626148
48,"APD 50",14,-6.64999953550289
48,"APD 90",44.3,-56.3499960639982
49,"APD 20",3.1,30.8499978451525
49,"APD 50",14,-6.59999953899535
49,"APD 90",44.4,-56.2499960709831
50,"APD 20",3.2,30.6499978591223
50,"APD 50",14,-6.59999953899535
50,"APD 90",43.7,-56.2999960674906
51,"APD 20",3.2,30.6499978591223
51,"APD 50",13.9,-6.49999954598027
51,"APD 90",43.9,-56.2499960709831
52,"APD 20",3.2,30.5499978661073
52,"APD 50",13.8,-6.44999954947273
52,"APD 90",43.4,-56.3499960639982
