File Name,Ediast (mV),Peak (mV),APA (mV),dV/dt max y (V/s),Negative dV/dt max y (V/s),RR (ms),Frequency (Hz),SD1,SD2,SD1_SD2 Ratio,APD 20 (ms),APD 50 (ms),APD 90 (ms),Folder,Condition 1,Condition 2,Condition 3
CelIJ_07_12_21_0000,-40.4765659490295,-5.2484969008686,35.2280690481609,4.77382081191301,-31.5699061694732,2509.89745762712,0.398422651475734,304.989296861382,42.8063333333333,7.12486384868397,23.5629310344831,78.8999999999999,584.569827586208,07_12_21,07,12,21
CelIL  07_12_21_0000,-32.4108133443006,30.8230125585823,63.233825902883,5.5664058561923,-4.55937801629243,808.723728813559,1.2365162098892,65.73971744691,14.2271388888889,4.62072648340079,86.8752136752128,156.064957264956,285.499572649572,07_12_21,07,12,21
CelIM 07_12_21_0000,-36.3591322236089,42.0453441762266,78.4044763998355,12.1895917712959,-36.5226473673687,1776.303125,0.562966976709001,1261.56335045054,26.3896666666667,47.8052021795351,65.7677419354844,111.670967741935,214.193548387097,07_12_21,07,12,21
CelIN 07_12_21_0000,-33.5630589196581,28.3656590429358,61.9287179625938,5.7310973169003,-4.65464336221896,761.371296296296,1.31341962175947,40.0929544932783,10.4177222222222,3.84853364661185,39.3088785046725,75.6934579439249,165.000934579439,07_12_21,07,12,21
CelIO 07_12_21_0000,-39.8912341702419,35.6891418650196,75.5803760352615,10.2489230630701,-13.1814032146064,456.658482142857,2.18982026854626,17.6352431227952,11.7162777777778,1.50519161949573,68.4695067264575,118.078699551569,184.317713004484,07_12_21,07,12,21
CelIP 07_12_21_0000,-47.0624237073313,39.0568848073726,86.1193085147039,38.5122659942215,-5.11572790670634,243.665481651376,4.10398712703487,13.0319779772744,4.51052777777774,2.88923572125635,23.7718390804596,45.8924137931034,83.9244827586205,07_12_21,07,12,21
CelIN 16_12_21_0000,-39.4257037031905,24.5198077212341,63.9455114244246,9.32593980224878,-10.082628586703,399.32074742268,2.5042525499971102,10.8116626843542,7.12558333333345,1.51730211809851,20.2516795865627,38.7772609819119,100.694444444444,16_12_21,16,12,21
2021_08_14_0000_C2,-48.0684281707883,31.0993421245219,79.1677702953102,11.8186251489756,-11.8052802939143,535.424375,1.86767739141499,22.5637773876621,9.38247222222221,2.40488613802876,46.3196202531645,84.7696202531643,142.163924050633,2021-08-14,2021-08-14,NA,NA
2021_08_14_0000_C3,-52.7304584949416,38.063265491199,90.7937239861406,14.3044204855612,-10.7499374856382,355.696518987342,2.81138539912331,9.05803786700317,8.19225000000008,1.10568377027106,49.9528571428572,84.9192063492063,127.401746031746,2021-08-14,2021-08-14,NA,NA
2021_08_14_0000_C4,-49.0976432316971,38.4081684198176,87.5058116515147,15.1262655281153,-11.0397590509472,474.001510067114,2.10969792028386,10.2671904628295,12.7138888888889,0.807557038806776,65.1506734006735,119.69074074074,187.45909090909,2021-08-14,2021-08-14,NA,NA
C3 2021_08_16_0000,-56.786433849295,41.762943236593,98.549377085888,40.3885856492601,-8.9486185465619,376.8421875,2.6536307058243,14.5734707602552,10.05775,1.44897922102411,30.4976377952753,60.5303149606298,121.158267716535,2021-08-16,2021-08-16,NA,NA
C4 2021_08_16_0000,-51.9432187150229,44.2263024394577,96.1695211544806,47.0632507768349,-9.38943302500477,287.53,3.4778979584739,9.28431203697972,9.01274999999999,1.03013087425921,52.6361635220124,88.3933962264148,131.173270440251,2021-08-16,2021-08-16,NA,NA
C5 2021_08_16_0000,-56.565157240479,41.5042810388762,98.0694382793552,42.8196321355816,-9.24569545219562,349.730368098159,2.85934563085848,13.0744043841398,10.5310277777778,1.24151266714242,65.2543209876543,110.848148148148,157.236728395062,2021-08-16,2021-08-16,NA,NA
C6 2021_08_16_0000,-55.1561232409239,43.5932375789733,98.7493608198972,19.2578624481131,-9.24148084653041,386.995786516854,2.58400746168447,18.9716749392348,12.1438055555556,1.56225121132276,80.5545197740113,129.619491525424,175.915536723164,2021-08-16,2021-08-16,NA,NA
C6 2021_10_26_0006,-49.7831816462131,42.4984949092545,92.2816765554677,13.3521853391935,-9.92201354134008,361.448758865248,2.76664388927342,24.3668996796888,9.22166666666672,2.6423531190698,52.3227758007118,89.9104982206402,134.597508896797,2021-10-26,2021-10-26,NA,NA
C7 2021_10_26_0008,-54.1821605580567,42.5780088932489,96.7601694513056,12.0159641033408,-10.5185815683371,621.229166666667,1.6097119286361,32.6259068839402,18.547,1.75909348595138,112.739252336448,184.598598130841,264.389719626168,2021-10-26,2021-10-26,NA,NA
CellA_27_10_21_0000,-60.8925356943003,32.653385833689,93.5459215279893,47.8504847882675,-4.57448302902348,361.030103211009,2.76985212896648,8.52063671329378,8.11747222222205,1.04966626063321,36.3282433983924,68.4158438576348,127.942020665901,27_10_21,27,10,21
CellB_27_10_21_0000,-61.9055350815351,37.7686006478096,99.6741357293447,148.786945657965,-9.16499950697915,375.641666666667,2.66211149810325,7.36098159215546,2.62158333333338,2.80783811010725,8.35796812748992,14.6661354581668,54.7675298804778,27_10_21,27,10,21
CellD_27_10_21_0000,-55.377572232382,42.6373935943352,98.0149658267172,11.2889599760201,-5.16387696252395,270.098648648649,3.70235099288048,8.52063671328967,6.86213888888876,1.2416881749634,52.7624153498869,82.8936794582393,112.543453724605,27_10_21,27,10,21
CellE_27_10_21_0000,-59.1656438638958,36.9692503783797,96.1348942422755,13.6078371521434,-4.88008737105088,366.54710467706,2.72816232140486,9.3903780541483,7.65105555555578,1.22733105072404,35.9662946428567,71.0664062499999,124.627790178571,27_10_21,27,10,21
