"Sweep (n)","Negative dV/dt max x (ms)","Negative dV/dt max y (V/s)"
256,6.2,-4.40978982960871
257,6.2,-10.1318354562636
258,53.2,-1.78527823551637
259,60.2,-1.92260733055609
260,57,-1.69372550548989
