"File Name","Ediast (mV)","Peak (mV)","APA (mV)","dV/dt max y (V/s)","Negative dV/dt max y (V/s)","STV","APD 20 (ms)","APD 50 (ms)","APD 90 (ms)"
"18711002",-79.901494418945,63.2899955792448,143.19148999819,266.499981385189,-70.3999950826167,0.183847763108503,0.539999999999999,7.3,30.26
"18711007",-70.6419950657135,68.1099952425717,138.751990308285,173.299987895134,-59.5999958369882,0.188561808316413,0.66,6.84,34.8
"18711021",-78.5229945152321,50.4699964747114,128.992990989943,339.499976286205,-37.5999973736703,0.15556349186104,0.8,4.42,26.56
"18711025",-77.5239945850114,62.2099956546819,139.733990239693,217.399984814787,-78.2999945308087,0.169705627484771,0.5,1.42,20.76
"18711029",-78.4844945179213,48.2199966318721,126.704491149793,365.799974449164,-31.8999977718109,0.200346921336189,1.1,7.4,38.98
"18711033",-76.3729946654078,49.6599965312892,126.032991196697,374.599973834491,-30.8999978416605,0.22391714737574,1.1,6.98,34
"18712012",-78.7494944994112,61.6399956944959,140.389490193907,335.899976537655,-70.5999950686462,0.115494107593803,0.499999999999998,3.6,20.92
"18712019",-75.2699947424515,53.5599962588774,128.829991001329,325.799977243132,-44.9999968567862,0.188561808316412,1.2,6.98,39.14
"18712028",-74.7269947803796,62.899995606486,137.626990386866,349.799975566751,-40.6999971571381,0.167348604880817,1.86,10.86,30.96
"18712038",-73.7514948485175,70.9999950407075,144.751489889225,311.499978241979,-88.4999938183462,0.261629509039023,0.800000000000001,11.6,40.76
"18713002",-77.6119945788647,58.3899959215058,136.00199050037,476.799966695904,-55.7999961024149,0.14142135623731,2,11.1,33.36
"18713010",-78.9059944884798,63.0799955939131,141.985990082393,419.199970719218,-82.7999942164866,0.186204785712458,1.8,12.76,30.28
"18713014",-76.002494691287,65.0099954591042,141.012490150391,424.499970349017,-62.0999956623652,0.15084944665313,0.540000000000001,3.98,24.24
"18713019",-81.9519942757192,62.8199956120739,144.771989887793,433.899969692434,-79.3999944539737,0.337054232365587,0.440000000000001,3.98,33.72
"18713023",-79.8339944236598,67.6199952767978,147.453989700458,331.499976844992,-83.899994139653,0.398336820068422,0.440000000000001,4.08,35.44
"18713027",-84.5594940935874,56.739996036757,141.299490130344,350.299975531828,-54.6999961792495,0.179133717900591,0.6,4.56,29.18
"18716003",-81.0834943363832,48.3199966248872,129.40349096127,408.699971452634,-41.0999971291981,0.282842712474619,1.14,6.88,33.5
"18716007",-80.4954943774545,55.9399960926363,136.435490470091,360.099974847307,-27.7999980581926,0.07778174593052,1.14,5.38,21.2
"18716011",-76.5054946561528,73.6999948521147,150.205489508268,396.299972318764,-72.1999949568881,0.21920310216783,0.7,5.5,29.36
"18716018",-78.5939945102728,58.4299959187118,137.023990428985,387.99997289851,-34.1999976111579,0.167348604880815,1.16,6.08,31.46
"18716022",-89.5814937428048,62.3799956428075,151.961489385612,310.599978304841,-85.2999940418636,0.139064333633355,0.500000000000001,4.42,22.04
"18716025",-83.3549941777208,61.5499957007824,144.904989878503,231.199983850866,-74.099994824176,0.238059282999471,0.52,4.32,31.02
