"Sweep (n)","dV/dt max x (ms)","dV/dt max y (V/s)"
55,8.60000000000036,24.4140625003553
55,12.3999999999996,24.4140625003553
55,23.6499999999996,24.4140625003553
55,24.6499999999996,24.4140625003553
55,25.1499999999996,24.4140625003553
55,47.1499999999996,24.4140625003553
55,72.3500000000004,24.4140625003553
55,98.6000000000004,24.4140625003553
55,134.25,24.4140625003553
55,151.15,24.4140625003553
55,173.5,24.4140625003553
55,186.25,24.4140625003553
55,192.65,24.4140625003553
55,193.15,24.4140625003553
55,213,24.4140625003553
56,63.5,30.5175781254441
57,83.5999999999985,30.5175781254441
57,85.5999999999985,30.5175781254441
57,230.049999999999,30.5175781254441
58,8.34999999999854,30.5175781254441
58,179.449999999999,30.5175781254441
58,239.699999999999,30.5175781254441
59,55.6499999999996,30.5175781254441
