"Sweep (n)","Negative dV/dt max x (ms)","Negative dV/dt max y (V/s)"
48,20.7,-14.4999989871865
49,20.6,-14.4999989871866
50,20.7,-14.4999989871865
51,20.7,-14.999998952262
52,20.7,-14.9999989522619
