"File Name","Ediast (mV)","Peak (mV)","APA (mV)","dV/dt max y (V/s)","Negative dV/dt max y (V/s)","STV","APD 20 (ms)","APD 50 (ms)","APD 90 (ms)"
"18711003_errore_dvdtmax",-82.0064942719124,61.129995730119,143.136490002031,272.599980959109,-81.8999942793509,0.141421356237309,0.580000000000001,7.3,31.36
"18711008",-73.4709948681102,57.7799959641138,131.250990832224,214.699985003382,-47.4999966821637,0.174419672692682,0.780000000000001,7.92,34.22
"18711022",-76.8564946316357,48.1999966332691,125.056491264905,305.899978633131,-39.4999972409568,0.110780062385892,0.76,4.36,27.96
"18711026",-78.9119944880607,59.9799958104456,138.891990298506,219.499984668105,-77.1937446080787,0.129636243217534,0.539999999999999,1.62,23.26
"18711030",-78.8994944889339,46.1099967792539,125.009491268188,343.99997597188,-32.2999977438712,0.127279220613579,1.1,7.6,41.08
"18711034",-78.8004944958489,47.489996682862,126.290491178711,351.699975434041,-28.8999979813584,0.153206469257086,1.18,7.02,32.96
"18712013",-80.359494386954,61.4199957098628,141.779490096817,267.199981336296,-73.7999948451305,0.136707311029399,0.479999999999999,3.28,21.26
"18712020",-79.709494432356,45.2699968379272,124.979491270283,335.099976593536,-26.1999981699516,0.122565175405668,1.38,7.28,34.9
"18712031",-75.9639946939761,61.4599957070688,137.423990401045,331.19997686595,-42.6999970174394,0.148492424049175,1.92,11.52,31.88
"18712039",-74.6139947882725,65.7099954102097,140.323990198482,308.79997843057,-75.799994705431,0.195632876128278,1.54,12.76,43.16
"18713003",-78.8619944915532,54.6299961841388,133.491990675692,496.599965312891,-45.4999968218624,0.113137084989847,2,10.7,31.94
"18713011",-78.6124945089806,63.7599955464157,142.372490055396,408.099971494544,-95.2999933433734,0.174419672692682,1.56,13.46,34.58
"18713015",-75.783994706549,62.5799956288377,138.363990335387,393.899972486409,-62.2999956483952,0.15556349186104,0.6,4.08,25.88
"18713020",-82.9379942068479,56.129996079365,139.067990286213,452.399968400224,-57.6999959697023,0.172062650088727,0.6,4.2,30.46
"18713028",-84.4614941004326,57.6699959717972,142.13149007223,326.69997718027,-70.2999950896015,0.148492424049175,0.58,4.54,33.84
"18716004",-84.5219940962068,41.2099971215149,125.731991217722,400.099972053337,-23.599998351559,0.14142135623731,1.48,6.48,31.12
"18716008",-84.1094941250196,56.9299960234856,141.039490148505,357.899975000976,-52.199996353872,0.089566858950296,0.84,5.16,21.4
"18716012",-74.1044948238607,68.5599952111396,142.664490035,395.299972388617,-55.6999961093998,0.268700576850888,1,5.92,35.9
"18716019",-78.5869945107617,56.8499960290736,135.436990539835,353.599975301325,-40.2999971850774,0.14613540144522,1.3,6.6,33.32
"18716026",-84.5064940972894,61.3399957154507,145.84648981274,277.299980630821,-70.9999950407072,0.230988215187606,0.56,4.7,33.74
