"Sweep (n)","Negative dV/dt max x (ms)","Negative dV/dt max y (V/s)"
340,7.2,-63.9999955296515
341,7.2,-64.4999954947269
342,7.2,-64.4999954947269
343,7.2,-64.9999954598023
344,7.2,-65.4999954248777
