"Sweep (n)","APD","APD value (ms)","APD value (mV)"
60,"APD 20",35,20.3308095812134
60,"APD 50",68.2,-14.8803703869703
60,"APD 90",156.4,-62.1093720499631
61,"APD 20",36.4,20.4101552805696
61,"APD 50",70.6,-14.7247307459253
61,"APD 90",159.2,-61.6394013691605
62,"APD 20",34.6,20.4162587959047
62,"APD 50",67.4,-15.0024406936723
62,"APD 90",161.2,-61.8225068292135
63,"APD 20",35.2,20.5383291026067
63,"APD 50",65.6,-14.4744866171863
63,"APD 90",156,-61.3281220870705
64,"APD 20",34.4,20.43456934191
64,"APD 50",67,-14.70642019992
64,"APD 90",153,-61.45324415144
