"File Name","Ediast (mV)","Peak (mV)","APA (mV)","dV/dt max y (V/s)","Negative dV/dt max y (V/s)","SD1","SD2","SD1_SD2 Ratio","APD 20 (ms)","APD 50 (ms)","APD 90 (ms)"
"21412046",-75.7104456226968,47.396848334708,123.107293957405,140.893547995416,-91.4794878424578,5.15716545745389,13.6651111111111,0.37739652575972,41.64,79.36,208.28
"21504005",-67.2556730750582,43.9715555286507,111.227228603709,171.197501634181,-13.2141107004885,3.81366257319945,10.1863333333333,0.374390121391352,28.72,51.48,155.88
"21504013",-79.8502159338807,49.5092749921856,129.359490926066,222.860707188122,-29.6752915592494,8.47113923861483,8.73788888888889,0.969472071152879,11.52,41.8,129.36
"21504023",-67.4897428881592,46.9702126127846,114.459955500944,119.799798997315,-12.7441400196859,4.64804857499957,11.9468888888889,0.389059329021002,40.76,68.24,178
"21504032",-76.0899622062332,51.5093969674974,127.599359173731,159.677116439181,-5.88989229837015,3.67695526217005,9.86577777777778,0.372697961072286,44.52,67.8,146.48
"21504040",-78.8284874667852,46.840207736147,125.668695202932,209.640492972299,-65.246578932204,1.36235906508608,9.99277777777777,0.136334370220434,27.64,66.76,151.16
"21504049",-63.848141498626,44.2248514150573,108.072992913683,182.928458108239,-15.0573723316882,3.99751033630795,8.79266666666667,0.454641406055192,25.56,52.72,130.48
"21504057",-76.1935998966232,49.935910714109,126.129510610732,218.55467711921,-23.5748279818184,1.06537421698773,9.79955555555555,0.108716585252047,25.16,65.96,146.04
"21504065",-67.2913786397685,44.8840310712479,112.175409711016,164.068595722785,-32.3425277606875,3.63924290050676,14.0497777777778,0.259024943886506,36.6,67.2,195.76
"21504074",-76.3868982272858,46.312253659661,122.699151886947,234.759510333897,-22.3327626111258,2.10717820793591,9.64233333333333,0.218534055512419,8.8,43.36,143.76
"21504082",-82.0009726676628,42.225339791279,124.226312458942,244.461047959035,-9.04846148428369,1.49906637611548,7.76266666666667,0.193112295102475,24.64,49.68,121
"21621007",-80.910152406974,51.5936254791218,132.503777886096,125.677484265015,-126.745599448658,5.12416714099851,12.771,0.401234605042558,56.36,80.56,191.96
"21621018",-84.5626180538037,47.0031715955941,131.565789649398,116.485590170356,-64.9291961347789,9.67793481183988,13.0523333333333,0.741471625393152,56.2,76.8,188.8
"21621035",-71.5363125201762,29.5031724267995,101.039484946976,80.1147422885039,-16.0064689662961,2.34759451353934,6.90888888888889,0.339793351911451,46.84,70.6,100.92
"21621045",-51.2204565515339,20.8013906135495,72.0218471650833,21.8933095069986,-65.8111541007006,15.8674761698261,1.10022222222222,14.4220647877636,41.2,92.56,140.12
"21621060",-76.4621545713675,39.5605449959749,116.022699567342,56.2591526012713,-68.9208951639331,26.7616346453069,13.8494444444444,1.93232549887891,92.12,143.76,194.8
"21621071",-70.752865291763,41.0723857444789,111.825251036242,147.775261535739,-45.8892800469388,18.9787460070469,10.5124444444444,1.8053599338712,55.96,82.48,165.6
"21621083",-78.5054894352518,32.4072250232394,110.912714458491,118.554681868955,-56.2988254509495,4.50191317355435,9.60011111111111,0.468943861320925,33.88,56,147.4
"21621101",-87.1312214474266,42.630002857996,129.761224305423,182.894888773896,-4.38537576826835,5.49186266721552,8.23677777777778,0.666748917523569,30.6,44.8,123.92
"21621114",-57.5191012718955,47.2149635777221,104.734064849618,102.911372065097,-29.6112046482308,2.27216979021277,7.546,0.301109169124406,50.68,81.08,114.76
"21621123",-63.8605926699096,47.7276588658703,111.58825153578,82.6660116985754,-24.3774402483838,2.2863119258365,9.99788888888889,0.228679469360516,72.12,107,148.4
"21723037",-67.0872770869628,41.2713603444031,108.358637431366,30.6426987398624,-15.4144279787915,5.5295750288788,10.8607777777778,0.509132508004432,39.72,65.32,165.4
"21723051",-73.5246547108913,45.2142312508768,118.738885961768,172.027579719753,-11.9415277531204,2.15431866001502,9.47144444444444,0.227454077638459,43,73,141.2
"21723066",-71.7638515718687,46.1981179228946,117.961969494763,89.8406939749837,-11.1785883362331,3.06884343034962,12.3136666666667,0.249222551935488,47.6,75.4,187.32
"21723076",-77.1019860839459,45.787961692376,122.889947776322,208.786000825385,-9.64355422945579,3.09712770159708,11.8974444444444,0.260318736183996,40.6,76.6,176.68
"21726006",-81.4164390040204,47.4194313414479,128.835870345468,150.613396166559,-32.6385482544397,30.2924545060317,13.4264444444444,2.25617844183357,66.28,95.64,199.56
"21726046",-59.0114107713271,42.6654032469396,101.676814018267,41.0827617205486,-51.3732885755249,7.93845213012097,12.3304444444444,0.643809082948157,43.48,72,182.28
"21727005",-72.0510219683851,45.0707986405019,117.121820608887,66.3207976311814,-43.7438944066516,1.41421356237309,11.9784444444444,0.11806320669868,43.32,82.48,178.44
"21728017",-77.6292687737451,58.5772677255416,136.206536499287,154.77294186743,-37.7655011359226,46.7868986885099,10.4447777777778,4.47945372165345,61.84,84.32,136.48
"21728025",-72.9296230008725,53.5400365194847,126.469659520357,172.665397072271,-31.3384994880638,35.8408857157421,13.9712222222222,2.56533645701624,48.16,79.44,218.08
"21728033",-75.7418176915192,52.2619604083151,128.003778099834,147.790520324077,-65.1367156561719,2.11189225314382,13.2926666666667,0.158876492287263,73.8,116.44,198.8
