"Sweep (n)","APD","APD value (ms)","APD value (mV)"
638,"APD 20",2.3,6.0499995774124
638,"APD 50",9.9,-22.7499984109309
638,"APD 90",28.3,-60.9999957391994
639,"APD 20",2.3,6.14999957042748
639,"APD 50",10.1,-22.5999984214083
639,"APD 90",28.3,-60.9999957391994
640,"APD 20",2.3,6.14999957042748
640,"APD 50",10.2,-22.5499984249008
640,"APD 90",28.3,-61.149995728722
641,"APD 20",2.3,6.34999955645765
641,"APD 50",10.3,-22.5499984249008
641,"APD 90",28.5,-61.149995728722
642,"APD 20",2.3,6.34999955645765
642,"APD 50",10.2,-22.6499984179158
642,"APD 90",28.5,-61.0999957322145
