"Sweep (n)","Negative dV/dt max x (ms)","Negative dV/dt max y (V/s)"
124,159,-2.89916998667666
125,159.6,-2.96020514429049
126,159.4,-2.92968756548379
127,157.4,-2.86865240786954
128,160.8,-2.88391119727269
