"Sweep (n)","dV/dt max x (ms)","dV/dt max y (V/s)"
77,32.2,0.999999930150718
77,32.7,0.999999930150718
77,33.6,0.999999930150718
77,36,0.999999930150718
77,36.5,0.999999930150718
77,40.2,0.999999930150718
77,44.9,0.999999930150718
78,33.8,0.999999930150798
78,35.6,0.999999930150798
78,37.2,0.999999930150798
78,38.2,0.999999930150798
78,38.4,0.999999930150798
78,38.5,0.999999930150798
78,39,0.999999930150798
78,39.2,0.999999930150798
78,39.6,0.999999930150798
78,39.7,0.999999930150798
78,40.1,0.999999930150798
78,40.7,0.999999930150798
78,40.9,0.999999930150798
78,43.3,0.999999930150798
78,44.7,0.999999930150798
78,45,0.999999930150798
78,47.2,0.999999930150798
78,47.7,0.999999930150798
78,48.4,0.999999930150798
78,50.7,0.999999930150798
78,51.7,0.999999930150798
78,53.9,0.999999930150798
78,54.9,0.999999930150798
79,9.3,0.999999930150789
79,10.6,0.999999930150789
79,11.2,0.999999930150789
79,11.9,0.999999930150789
79,12.7,0.999999930150789
79,13.3,0.999999930150789
79,13.6,0.999999930150789
79,13.9,0.999999930150789
79,14.7,0.999999930150789
79,15,0.999999930150789
79,15.6,0.999999930150789
79,17.1,0.999999930150789
79,17.2,0.999999930150789
79,17.3,0.999999930150789
79,18,0.999999930150789
79,18.3,0.999999930150789
79,18.5,0.999999930150789
79,18.7,0.999999930150789
79,19.4,0.999999930150789
79,20.8,0.999999930150789
79,21.5,0.999999930150789
79,22,0.999999930150789
79,25.5,0.999999930150789
79,25.9,0.999999930150789
79,30.7,0.999999930150789
79,32.9,0.999999930150789
79,34.3,0.999999930150789
79,36.3,0.999999930150789
79,37.3,0.999999930150789
79,39.8,0.999999930150789
79,40.4,0.999999930150789
79,40.9,0.999999930150789
79,47.2,0.999999930150789
79,57.8,0.999999930150789
80,40,0.999999930150869
80,43.2,0.999999930150869
80,43.9,0.999999930150869
80,44.6,0.999999930150869
80,45.3,0.999999930150869
80,46.1,0.999999930150869
80,46.5,0.999999930150869
80,49,0.999999930150869
80,49.4,0.999999930150869
80,49.7,0.999999930150869
81,10.5,0.999999930150807
81,11,0.999999930150807
81,12.4,0.999999930150807
81,12.5,0.999999930150807
81,13.6,0.999999930150807
81,15,0.999999930150807
81,16.2,0.999999930150807
81,18,0.999999930150807
81,18.3,0.999999930150807
81,19.3,0.999999930150807
81,20.6,0.999999930150807
81,22,0.999999930150807
81,23.2,0.999999930150807
81,23.4,0.999999930150807
81,23.9,0.999999930150807
81,29.4,0.999999930150807
81,30.6,0.999999930150807
81,32.6,0.999999930150807
81,36.3,0.999999930150807
81,38.2,0.999999930150807
81,38.5,0.999999930150807
81,38.8,0.999999930150807
81,40.7,0.999999930150807
81,41.2,0.999999930150807
81,45,0.999999930150807
81,46.3,0.999999930150807
81,46.6,0.999999930150807
81,47.2,0.999999930150807
81,47.3,0.999999930150807
81,47.7,0.999999930150807
81,49.2,0.999999930150807
81,55.4,0.999999930150807
81,61.6,0.999999930150807
81,63.8,0.999999930150807
81,153.6,0.999999930150807
81,154.8,0.999999930150807
81,156.1,0.999999930150807
81,156.5,0.999999930150807
81,158.8,0.999999930150807
81,164.3,0.999999930150807
81,165.2,0.999999930150807
81,165.7,0.999999930150807
81,171.5,0.999999930150807
81,173.3,0.999999930150807
81,175.9,0.999999930150807
81,176.3,0.999999930150807
81,176.9,0.999999930150807
81,177.8,0.999999930150807
81,178.1,0.999999930150807
81,179.6,0.999999930150807
81,182.9,0.999999930150807
81,191.8,0.999999930150807
81,192.5,0.999999930150807
81,194.3,0.999999930150807
81,194.7,0.999999930150807
81,195,0.999999930150807
81,195.4,0.999999930150807
81,198.3,0.999999930150807
81,198.8,0.999999930150807
81,201.3,0.999999930150807
81,201.6,0.999999930150807
81,202.3,0.999999930150807
81,204.9,0.999999930150807
81,207.7,0.999999930150807
81,207.9,0.999999930150807
81,208.4,0.999999930150807
81,211.6,0.999999930150807
81,214,0.999999930150807
81,216.7,0.999999930150807
81,217.5,0.999999930150807
81,218.2,0.999999930150807
81,218.5,0.999999930150807
81,219.7,0.999999930150807
81,220,0.999999930150807
81,221.5,0.999999930150807
81,221.8,0.999999930150807
81,222.3,0.999999930150807
81,222.5,0.999999930150807
81,223.4,0.999999930150807
81,223.9,0.999999930150807
81,224.8,0.999999930150807
81,225.4,0.999999930150807
81,225.8,0.999999930150807
81,226.5,0.999999930150807
81,230.3,0.999999930150807
81,231.4,0.999999930150807
81,231.9,0.999999930150807
81,232.1,0.999999930150807
81,232.4,0.999999930150807
81,234.3,0.999999930150807
81,236.7,0.999999930150807
81,244.5,0.999999930150807
81,244.9,0.999999930150807
81,247.2,0.999999930150807
