"Sweep (n)","dV/dt max x (ms)","dV/dt max y (V/s)"
460,10.8,0.999999930150825
460,11.8,0.999999930150825
460,12,0.999999930150825
460,12.3,0.999999930150825
460,12.6,0.999999930150825
460,12.9,0.999999930150825
460,13.4,0.999999930150825
460,13.7,0.999999930150825
460,13.8,0.999999930150825
460,14,0.999999930150825
460,14.1,0.999999930150825
460,14.3,0.999999930150825
460,14.5,0.999999930150825
460,16.9,0.999999930150825
460,17,0.999999930150825
460,17.5,0.999999930150825
460,18.1,0.999999930150825
460,18.6,0.999999930150825
460,19.1,0.999999930150825
460,19.8,0.999999930150825
460,19.9,0.999999930150825
460,20.5,0.999999930150825
460,21.6,0.999999930150825
460,23.3,0.999999930150825
460,23.5,0.999999930150825
460,25.2,0.999999930150825
460,28.9,0.999999930150825
460,29.7,0.999999930150825
460,30.4,0.999999930150825
460,30.8,0.999999930150825
460,35,0.999999930150825
461,12.1,0.999999930150807
461,12.4,0.999999930150807
461,13.2,0.999999930150807
461,13.9,0.999999930150807
461,14,0.999999930150807
461,14.7,0.999999930150807
461,14.9,0.999999930150807
461,15.5,0.999999930150807
461,15.8,0.999999930150807
461,16.4,0.999999930150807
461,17.1,0.999999930150807
461,17.3,0.999999930150807
461,19.2,0.999999930150807
461,20.7,0.999999930150807
461,25.1,0.999999930150807
461,25.8,0.999999930150807
461,28.4,0.999999930150807
461,29.1,0.999999930150807
461,34.3,0.999999930150807
461,37.5,0.999999930150807
461,40.1,0.999999930150807
461,50.8,0.999999930150807
461,53.7,0.999999930150807
461,54.8,0.999999930150807
461,56.1,0.999999930150807
461,57,0.999999930150807
461,57.5,0.999999930150807
461,58,0.999999930150807
461,59.4,0.999999930150807
461,130,0.999999930150807
461,130.5,0.999999930150807
461,142.5,0.999999930150807
461,147.2,0.999999930150807
461,149.1,0.999999930150807
461,150.2,0.999999930150807
461,150.9,0.999999930150807
461,153.9,0.999999930150807
461,154.2,0.999999930150807
461,154.6,0.999999930150807
461,157.8,0.999999930150807
461,158.3,0.999999930150807
461,158.9,0.999999930150807
461,161.2,0.999999930150807
461,161.5,0.999999930150807
461,162,0.999999930150807
461,163.7,0.999999930150807
461,164.8,0.999999930150807
461,165.2,0.999999930150807
461,165.5,0.999999930150807
461,171.8,0.999999930150807
461,173,0.999999930150807
461,173.9,0.999999930150807
461,174.4,0.999999930150807
461,175.4,0.999999930150807
461,176.9,0.999999930150807
461,177.3,0.999999930150807
461,178.4,0.999999930150807
461,178.8,0.999999930150807
461,183.9,0.999999930150807
