"File Name","Ediast (mV)","Peak (mV)","APA (mV)","dV/dt max y (V/s)","Negative dV/dt max y (V/s)","SD1","SD2","SD1_SD2 Ratio","APD 20 (ms)","APD 50 (ms)","APD 90 (ms)"
"17421004",-70.5044571423037,61.9512953300319,132.455752472336,203.2196090345,-4.20379648068086,2.24859956417322,11.7143333333333,0.191952841035759,70.6,162.92,185.36
"17421041",-77.9468401211539,54.8260510301452,132.772891151299,213.720707902028,-56.6650403290625,0.678822509939086,5.88266666666667,0.115393672360452,38.6,67.24,78.04
"17502011",-67.0966201520701,67.081910679085,134.178530831155,263.720709019613,-6.83898941067635,1.7819090885901,7.49577777777778,0.23772170699521,48,96.96,111.8
"17n30004",-76.3183557500726,60.05859089737,136.376946647443,384.012839833282,-162.298021410676,3.61897250611275,11.0605888888889,0.327195282499674,37.524,145.2,184.516
"17n30008",-72.9553188004333,57.1899386898737,130.145257490307,384.521466111219,-177.001944717935,4.68764655474602,13.8310444444444,0.338922094681643,30.648,151.02,202.816
"17n30013",-74.8168909776384,57.3730441499266,132.189935127565,295.003241196438,-173.950187050137,4.02249477590987,16.1603666666667,0.248911108199476,56.268,184.484,217.824
"18215006",-82.2660540848833,54.2688000411272,136.534854126011,274.166876245296,-126.657107323195,1.54149278298668,11.6978888888889,0.131775297032514,74.52,153.04,174.16
"18215022",-85.2722797380152,49.5477305996656,134.820010337681,252.41394607158,-90.8020039827083,1.39064333633355,7.93966666666666,0.175151350140671,42.92,98.92,117.56
"18215029",-90.4382344433271,44.9774179975111,135.415652440838,209.14612283884,-4.00390633949439,3.50724963468528,15.33,0.228783407350638,91.4,191.16,215.6
"18215033",-87.6057758839229,50.6585704682448,138.264346352168,288.400275000932,-15.0207522888651,2.6964338589247,18.8708888888889,0.142888545144916,189.48,316.4,339.28
"18215049",-81.4598406879568,54.1156017955155,135.575442483472,262.149053711051,-59.3841566007771,1.74419672692682,9.48533333333333,0.183883545852561,46.88,117,137.64
"18215063",-77.6497820090454,57.130738581659,134.780520590704,230.364995383436,-47.7355967700989,1.15494107593803,9.303,0.124147164993876,64.96,124.12,139.52
"18215068",-99.3450949939734,38.7786873902087,138.123782384182,274.111944603443,-131.353762701611,2.82371307953828,15.297,0.184592605055781,119.6,211.68,232.32
"18d03012",-77.6748064236672,58.0676282510376,135.742434674705,290.124518203539,-81.3293475209778,1.65462986797652,9.18277777777778,0.180188381774925,55.08,116.08,135
"18d03016",-84.525026303344,54.0374767937692,138.562503097113,363.079842099837,-35.3912361426184,2.470159688945,10.6006666666667,0.233019277618861,63,140.08,159.68
"18d03020",-83.1138324241452,54.6307385257797,137.744570949925,334.384162747507,-149.920657647863,2.31931024229188,11.0004444444444,0.210837866961203,65.28,157,183.12
"18d12021",-80.1970843120758,54.4934094211476,134.690493733223,225.708012857468,-27.2491461168785,2.1448905695992,10.6456666666667,0.201480154954992,64.48,136.08,158.76
"18d12025",-82.2196063299389,49.3377696574726,131.557375987411,248.092656912487,-5.24902355482492,43.2890771442404,11.8221111111111,3.661704473709,28.24,91.24,122.96
"18d12053",-79.6337908424539,53.518067602472,133.151858444926,166.809085759721,-4.06494149710853,2.0128973037777,12.887,0.156195957459277,78.64,168.6,193.2
"19307005",-63.0444305993002,50.5798315819619,113.624262181262,115.600580446767,-5.18798803483395,1.26336411571997,10.2691111111111,0.123025654513857,98.28,195.2,214.12
"19307006",-83.0958880878066,53.0657970845505,136.161685172357,330.529792544162,-4.9133301879469,2.88970971244903,11.4332222222222,0.252746745955172,49.8,145.44,171.8
"19307010",-74.2270524403539,52.956544152421,127.183596592775,165.368656040028,-6.50634780167841,1.59334728027368,9.48888888888889,0.16791716068458,54,125.44,141.96
"19314012",-68.8696256351183,55.2185032366368,124.088128871755,214.569081605391,-4.2724607345697,2.44187541769754,19.9657777777778,0.122303044984072,131.32,237.76,263.68
