"Sweep (n)","APA (mV)"
10,130.344990895507
11,130.169990907731
12,130.354990894809
13,130.732490868441
14,130.502490884506
15,130.767490865996
16,131.267490831071
17,130.912490855868
18,131.142490839803
19,130.697490870886
