"Sweep (n)","Ediast (mV)"
91,-73.8974948383195
92,-73.9124948372718
93,-73.8949948384941
94,-73.8299948430343
95,-73.8249948433836
96,-73.8199948437328
97,-73.8449948419866
98,-73.8174948439074
99,-73.8049948447805
100,-73.8249948433836
