"Sweep (n)","Negative dV/dt max x (ms)","Negative dV/dt max y (V/s)"
783,10.1,-8.49999940628177
784,10,-8.49999940628192
785,10.2,-8.49999940628192
786,10.2,-8.49999940628192
787,10.3,-8.49999940628192
