"Sweep (n)","Negative dV/dt max x (ms)","Negative dV/dt max y (V/s)"
22,33.6,-19.4091787656132
23,33.6,-17.19665445664
24,33.6,-15.7012931995409
25,33.6,-17.2882071866665
26,33.6,-13.5955804089319
