"Sweep (n)","APD","APD value (ms)","APD value (mV)"
76,"APD 20",2.4,3.4499997590203
76,"APD 50",6.9,-25.6499982083683
76,"APD 90",23.7,-63.9499955331443
77,"APD 20",2.5,2.44999982886949
77,"APD 50",6.9,-25.899998190906
77,"APD 90",23.7,-63.9999955296519
78,"APD 20",2.6,2.14999984982424
78,"APD 50",7.1,-25.8499981943984
78,"APD 90",24.1,-63.6999955506066
79,"APD 20",2.5,3.14999977997505
79,"APD 50",7,-25.5999982118607
79,"APD 90",23.9,-64.0999955226669
80,"APD 20",2.5,3.04999978695997
80,"APD 50",7,-25.8499981943984
80,"APD 90",23.9,-64.0999955226669
