"Sweep (n)","Negative dV/dt max x (ms)","Negative dV/dt max y (V/s)"
14,224.4,-5.88989270977469
15,223.4,-5.90515149917825
16,222.8,-5.82885755216045
17,223.2,-5.7983399733525
18,223.4,-5.90515149917825
