"Sweep (n)","APA (mV)"
60,152.594989341363
61,152.652489337347
62,152.757489330012
63,152.479989349396
64,152.524989346252
65,152.327489360048
66,152.502489347824
67,152.469989350094
68,152.367489357254
69,152.332489359698
