"Sweep (n)","APD","APD value (ms)","APD value (mV)"
120,"APD 20",1.8,53.6376965113959
120,"APD 50",42.4,6.50024428591678
120,"APD 90",67.8,-56.1981213733134
121,"APD 20",1.2,55.566407492006
121,"APD 50",41.4,7.6385499754224
121,"APD 90",67.6,-55.905152616765
122,"APD 20",1.2,55.5145276080339
122,"APD 50",41,7.59582536509243
122,"APD 90",67.6,-55.9814465637828
123,"APD 20",2,53.0639660298221
123,"APD 50",42.6,5.96313489891145
123,"APD 90",68,-56.6528332975395
124,"APD 20",1.4,54.7668469272594
124,"APD 50",41.8,7.42492692377255
124,"APD 90",68.2,-56.5063489192653
