"Sweep (n)","Negative dV/dt max x (ms)","Negative dV/dt max y (V/s)"
77,210.8,-5.34057591821158
78,211.8,-4.88281226807913
79,218.8,-5.49316380158906
80,216,-5.0354001514566
81,217.6,-4.88281226807843
81,218.2,-4.88281226807843
