File Name,Ediast (mV),Peak (mV),APA (mV),dV/dt max y (V/s),Negative dV/dt max y (V/s),SD1,SD2,SD1_SD2 Ratio,APD 10 (ms),APD 20 (ms),APD 50 (ms),APD 70 (ms),APD 90 (ms),Folder,Condition 1,Condition 2,Condition 3,Condition 4
18215033,-87.6057758839229,50.6585704682448,138.264346352168,288.400275000932,-15.0207522888651,2.6964338589247,0.178740740740741,15.0857261067068,56.56,189.48,316.4,332.28,339.28,GP_CTRL_Tyr_1Hz,GP,CTRL,Tyr,1Hz
18215049,-81.4598406879568,54.1156017955155,135.575442483472,262.149053711051,-59.3841566007771,1.74419672692682,0.0899555555555557,19.3895387133663,14.84,46.88,117,130.68,137.64,GP_CTRL_Tyr_1Hz,GP,CTRL,Tyr,1Hz
18215063,-77.6497820090454,57.130738581659,134.780520590704,230.364995383436,-47.7355967700989,1.15494107593803,0.0477703703703705,24.1769336721404,21.84,64.96,124.12,134.4,139.52,GP_CTRL_Tyr_1Hz,GP,CTRL,Tyr,1Hz
18215068,-99.3450949939734,38.7786873902087,138.123782384182,274.111944603443,-131.353762701611,2.82371307953828,0.0871037037037035,32.417830235366,36.68,119.6,211.68,225.36,232.32,GP_CTRL_Tyr_1Hz,GP,CTRL,Tyr,1Hz
18d03012,-77.6748064236672,58.0676282510376,135.742434674705,290.124518203539,-81.3293475209778,1.65462986797652,0.0516666666666667,32.0250942189004,19.08,55.08,116.08,128.28,135,GP_CTRL_Tyr_1Hz,GP,CTRL,Tyr,1Hz
18d03016,-84.525026303344,54.0374767937692,138.562503097113,363.079842099837,-35.3912361426184,2.470159688945,0.237081481481481,10.4190326191206,16.28,63,140.08,153.36,159.68,GP_CTRL_Tyr_1Hz,GP,CTRL,Tyr,1Hz
18d03020,-83.1138324241452,54.6307385257797,137.744570949925,334.384162747507,-149.920657647863,2.31931024229188,0.0935111111111111,24.8025097203266,20.52,65.28,157,173.44,183.12,GP_CTRL_Tyr_1Hz,GP,CTRL,Tyr,1Hz
18d12021,-80.1970843120758,54.4934094211476,134.690493733223,225.708012857468,-27.2491461168785,2.1448905695992,0.0526888888888891,40.7085936870365,19.12,64.48,136.08,150.92,158.76,GP_CTRL_Tyr_1Hz,GP,CTRL,Tyr,1Hz
18d12025,-82.2196063299389,49.3377696574726,131.557375987411,248.092656912487,-5.24902355482492,43.2890771442404,1.68821481481481,25.641924691313,9.84,28.24,91.24,111.76,122.96,GP_CTRL_Tyr_1Hz,GP,CTRL,Tyr,1Hz
18d12053,-79.6337908424539,53.518067602472,133.151858444926,166.809085759721,-4.06494149710853,2.0128973037777,0.0950000000000001,21.1883926713442,24.56,78.64,168.6,185,193.2,GP_CTRL_Tyr_1Hz,GP,CTRL,Tyr,1Hz
19307005,-63.0444305993002,50.5798315819619,113.624262181262,115.600580446767,-5.18798803483395,1.26336411571997,0.159288888888889,7.93127583808572,32.64,98.28,195.2,207.92,214.12,GP_CTRL_Tyr_1Hz,GP,CTRL,Tyr,1Hz
19307006,-83.0958880878066,53.0657970845505,136.161685172357,330.529792544162,-4.9133301879469,2.88970971244903,0.0878444444444445,32.8957594384534,17.32,49.8,145.44,163.2,171.8,GP_CTRL_Tyr_1Hz,GP,CTRL,Tyr,1Hz
19307010,-74.2270524403539,52.956544152421,127.183596592775,165.368656040028,-6.50634780167841,1.5933472802736799,0.048977777777777697,32.5320451961506,21.24,54,125.44,136.8,141.96,GP_CTRL_Tyr_1Hz,GP,CTRL,Tyr,1Hz
19314012,-68.8696256351183,55.2185032366368,124.088128871755,214.569081605391,-4.2724607345697,2.44187541769754,0.224622222222222,10.8710322315384,41.56,131.32,237.76,255.32,263.68,GP_CTRL_Tyr_1Hz,GP,CTRL,Tyr,1Hz
17421005,-75.5975969045817,60.9161390568943,136.513735961476,159.03015492179,-3.8706462453697,1.70648436526353,0.0567407407407408,30.0751160979865,16.32,63.72,146.2,162.2,170.6,GP_CTRL_Tyr_2Hz,GP,CTRL,Tyr,2Hz
17421042,-76.546083253907,54.2596447674851,130.805728021392,211.318974449909,-49.5605479827643,0.29227080289044,0.0634222222222222,4.60833431326903,11.24,26.76,51.44,58.32,62.12,GP_CTRL_Tyr_2Hz,GP,CTRL,Tyr,2Hz
17502012,-65.893678230651,66.2915053879806,132.185183618632,219.235234392476,-6.48803725439413,1.051232081364,0.0447777777777778,23.4766469783523,13.04,39.12,80.2,90.6,95.44,GP_CTRL_Tyr_2Hz,GP,CTRL,Tyr,2Hz
17n30005,-75.7263147625681,59.3261690571582,135.052483819726,391.642234002161,-170.89842938274,2.52154278171122,0.108621481481481,23.2140341608314,8.336,32.716,118.192,149.26,161.176,GP_CTRL_Tyr_2Hz,GP,CTRL,Tyr,2Hz
17n30009,-88.5620075122804,-44.0673807194117,44.4946267928686,122.070306701974,-195.312490723185,7.19834703247905,0.660244444444444,10.9025484319463,0.155999999999999,0.191999999999998,0.319999999999999,1.104,2.412,GP_CTRL_Tyr_2Hz,GP,CTRL,Tyr,2Hz
17n30014,-73.8342250086875,57.0678683831717,130.902093391859,244.140613403961,-158.691398712525,2.5705688518735,0.104517777777778,24.5945609113404,10.388,44.316,145.248,173.988,185.3,GP_CTRL_Tyr_2Hz,GP,CTRL,Tyr,2Hz
18215007,-81.4332903943946,52.8985607526875,134.331851147082,248.999029003061,-129.248049763918,0.933380951166243,0.0406666666666668,22.9519906024485,18.16,56.88,126.88,142.4,150.12,GP_CTRL_Tyr_2Hz,GP,CTRL,Tyr,2Hz
18215023,-85.2317523933594,48.2531749066675,133.484927300027,245.034795516016,-82.0526141387059,0.985235448453258,0.0440666666666668,22.3578392235988,12.4,39,99.84,114.68,121.12,GP_CTRL_Tyr_2Hz,GP,CTRL,Tyr,2Hz
18215030,-90.8604756637024,42.9119882638452,133.772463927548,221.966557695717,-4.05273446558556,1.418927607581,0.0404814814814815,35.0512766740046,19.88,60.72,136.76,152.12,159.92,GP_CTRL_Tyr_2Hz,GP,CTRL,Tyr,2Hz
18215034,-86.9115009660609,48.9440928908607,135.855593856922,237.966924264291,-93.679811664219,1.41892760758101,0.0462592592592593,30.6733750237688,30.8,97.76,180.4,194.24,200.64,GP_CTRL_Tyr_2Hz,GP,CTRL,Tyr,2Hz
18215050,-81.7440814169663,52.2973644501872,134.041445867154,278.289801142137,-64.6179213661978,1.16436916635384,0.0312222222222222,37.2929626234328,13,36.16,94.64,108.2,115.2,GP_CTRL_Tyr_2Hz,GP,CTRL,Tyr,2Hz
18215065,-78.6024797842461,54.2346203528632,132.837100137109,179.501346785607,-5.84106458368271,0.843814092215944,0.0397703703703703,21.2171544885738,18.92,50.16,100.68,111,116.2,GP_CTRL_Tyr_2Hz,GP,CTRL,Tyr,2Hz
18215069,-99.5639060340205,36.4453133146162,136.009219348637,253.027349405603,-155.075076708385,1.56506300902622,0.0484,32.3360125831865,27,81.2,160.44,174.96,182.36,GP_CTRL_Tyr_2Hz,GP,CTRL,Tyr,2Hz
18d03013,-75.9542863656793,56.0351575024834,131.989443868163,318.679816693365,-20.2545170542862,1.15022703073012,0.0442222222222223,26.0101589863594,12.52,31.84,86.84,101.56,109.76,GP_CTRL_Tyr_2Hz,GP,CTRL,Tyr,2Hz
18d03017,-83.3989886805189,51.911011902489,135.310000583008,276.992804042838,-5.07507335562429,1.93275853524323,0.0547259259259259,35.3170549888787,9.48,27.08,81.64,94.84,101.24,GP_CTRL_Tyr_2Hz,GP,CTRL,Tyr,2Hz
18d03021,-82.6117572176104,54.5483410630004,137.160098280611,298.858649258135,-150.109866636466,1.40007142674936,0.046288888888889,30.2463822389444,20.2,57.72,148.4,166.44,176.68,GP_CTRL_Tyr_2Hz,GP,CTRL,Tyr,2Hz
18d12022,-79.5961931853635,52.2857677702405,131.881960955604,220.175175819735,-35.9985359608798,1.38592929112563,0.0483407407407407,28.6700052561999,15.04,42.6,100.92,115.48,123.44,GP_CTRL_Tyr_2Hz,GP,CTRL,Tyr,2Hz
18d12026,-83.4982318467997,48.2263194373172,131.724551284117,265.106207097459,-31.5460212129208,1.45192592403637,0.0561481481481482,25.858839016479,10.16,27.56,85.36,104.04,114,GP_CTRL_Tyr_2Hz,GP,CTRL,Tyr,2Hz
18d12054,-79.6067522676308,52.3974621086745,132.004214376305,157.540897076003,-3.78112801420218,1.92804449003532,0.0848962962962962,22.7105842557167,22.28,59.64,142.08,160,168.76,GP_CTRL_Tyr_2Hz,GP,CTRL,Tyr,2Hz
19307007_2,-74.671627312663,51.3183569375088,125.989984250172,164.031974630773,-34.729002256711,2.13074843397546,0.130518518518519,16.3252575815373,15.52,40.48,100.56,116.68,123.48,GP_CTRL_Tyr_2Hz,GP,CTRL,Tyr,2Hz
19307007,-82.7709369086683,52.5329601585782,135.303897067247,197.247318861948,-4.78820811483742,2.23445742854949,0.0623407407407407,35.8426512421793,18.36,49.68,141.12,160.76,169.84,GP_CTRL_Tyr_2Hz,GP,CTRL,Tyr,2Hz
19307011,-76.1333635181195,52.6800548884285,128.813418406548,236.074834378245,-76.6296403846805,1.23036579926459,0.0902444444444445,13.6337012969482,24.48,61.92,134.16,146.04,151.36,GP_CTRL_Tyr_2Hz,GP,CTRL,Tyr,2Hz
19314013,-67.5988737423508,53.5888646421655,121.187738384516,198.028555047272,-4.08935527451642,4.15307382816899,0.219,18.9638074345616,21.44,58.12,140.32,159.2,167.6,GP_CTRL_Tyr_2Hz,GP,CTRL,Tyr,2Hz
17421007,-75.0825212094751,59.695435904609496,134.777957114085,176.474002967939,-3.67736824625839,0.952237131997885,0.0851111111111113,11.1881647362676,15.32,42.24,109.48,126.84,135.68,GP_CTRL_Tyr_4Hz,GP,CTRL,Tyr,4Hz
17421043,-75.3337419182153,52.1447765561516,127.478518474367,206.454472388053,-29.8492438312452,0.188561808316413,0.018,10.4756560175785,7.4,15.44,32.68,39.08,42.92,GP_CTRL_Tyr_4Hz,GP,CTRL,Tyr,4Hz
17502013,-64.9420180531297,64.3273940159543,129.269412069084,91.7175313469219,-6.17980970844195,0.664680374315354,0.0438444444444444,15.1599679899599,8.92,23.36,52.48,62.68,67.56,GP_CTRL_Tyr_4Hz,GP,CTRL,Tyr,4Hz
17n30006,-71.2829555986163,54.0161107156224,125.299066314239,283.813463082088,-148.228229566766,0.818358248093233,0.0838444444444445,9.76043497593307,2.58,8.088,73.888,120.844,141.992,GP_CTRL_Tyr_4Hz,GP,CTRL,Tyr,4Hz
17n30010,-67.8100553729452,45.7153298598883,113.525385232834,250.244128739046,-170.389803104878,1.43636957485027,0.065337037037037,21.9840023360112,4.408,11.104,48.104,93.18,110.176,GP_CTRL_Tyr_4Hz,GP,CTRL,Tyr,4Hz
17n30015,-74.7619593396225,56.8237277697678,131.58568710939,343.322737599295,-152.587883377499,1.23696546255567,0.0448755555555555,27.5643487248712,7.38,29.12,96.552,119.32,128.636,GP_CTRL_Tyr_4Hz,GP,CTRL,Tyr,4Hz
18215008,-80.6707781703199,50.4510509323564,131.121829102676,205.557255571124,-32.5408942820333,0.782531504513112,0.04,19.5632876128278,15.08,35.16,85.08,101,109.6,GP_CTRL_Tyr_4Hz,GP,CTRL,Tyr,4Hz
18215024,-81.9762591565309,42.9516611162944,124.927920272825,122.470095510858,-4.88281260913936,0.570399470157148,0.0969999999999999,5.88040690883658,3.68,11.92,30.08,38.92,45.28,GP_CTRL_Tyr_4Hz,GP,CTRL,Tyr,4Hz
18215031,-90.0280781841594,41.2371835389104,131.26526172307,121.209719506124,-3.56140144679133,1.2350798444725,0.0403407407407409,30.616191517405,17.28,39.08,98.84,116.32,125.12,GP_CTRL_Tyr_4Hz,GP,CTRL,Tyr,4Hz
18215035,-85.9184589516772,48.5827647577844,134.501223709462,177.294925837849,-4.58984385259114,1.29164838696742,0.0565037037037037,22.859534903068,24.68,57.8,129.76,144.76,151.72,GP_CTRL_Tyr_4Hz,GP,CTRL,Tyr,4Hz
18215051,-81.7886370820247,50.4779064017066,132.266543483731,226.251225760235,-61.4044203178084,0.655252283899533,0.0212962962962962,30.7683681135434,11.36,26.92,72.2,85.96,93.28,GP_CTRL_Tyr_4Hz,GP,CTRL,Tyr,4Hz
18215066,-78.54046806411,50.2862560067979,128.826724070908,148.519900780616,-5.26733410210909,0.542115198909684,0.0294444444444444,18.4114595856119,11.76,25.12,56.6,66.92,72.52,GP_CTRL_Tyr_4Hz,GP,CTRL,Tyr,4Hz
18215070,-100.000002235174,33.3691413708584,133.369143606033,230.767827423687,-153.140262212015,1.07008826219564,0.0236222222222222,45.3000675435595,19.28,42.96,98.24,112.16,119.64,GP_CTRL_Tyr_4Hz,GP,CTRL,Tyr,4Hz
18d03014,-89.9399434165644,-49.8962413496429,40.0437020669215,0.56152345005103,-108.126833471511,0.0094280904158206,0.0031111111111111,3.03045763365663,0,0,0.199999999999999,1,2.4,GP_CTRL_Tyr_4Hz,GP,CTRL,Tyr,4Hz
18d03018,-82.6616839765389,49.622193491955,132.283877468494,179.946903436188,-4.92858897735017,0.697678690770727,0.0224148148148148,31.1257842875241,7.16,18.4,53.4,65.84,72.24,GP_CTRL_Tyr_4Hz,GP,CTRL,Tyr,4Hz
18d03022,-82.6860980395846,51.3049327873796,133.991030826964,260.94360934817,-129.669192351458,0.391265752256556,0.0231777777777778,16.881072724396,10.2,23.88,64.96,79.84,89.32,GP_CTRL_Tyr_4Hz,GP,CTRL,Tyr,4Hz
18d12023,-78.6378191405047,52.2692882776846,130.907107418189,204.824833679753,-3.5552979310295,0.91923881554251,0.0513555555555556,17.8995009517148,16.68,41.6,103.24,121.68,130.76,GP_CTRL_Tyr_4Hz,GP,CTRL,Tyr,4Hz
18d12027,-82.0867327918127,47.1813975389614,129.268130330774,248.916631540281,-3.42102058427827,0.89566858950296,0.0236148148148147,37.9282495554893,8.68,22.12,66.92,86.6,97.52,GP_CTRL_Tyr_4Hz,GP,CTRL,Tyr,4Hz
18d12055,-79.3621233559129,47.7819834898856,127.144106845798,118.301394245805,-66.2353530429757,0.810815775760574,0.0460888888888888,17.5924348646219,18.52,38.36,85.04,100.96,109.36,GP_CTRL_Tyr_4Hz,GP,CTRL,Tyr,4Hz
19307008 2,-67.704464557648,47.9919410798801,115.696405637528,108.978266308185,-4.42504861794643,1.35293097467026,0.0812962962962962,16.641975542641,8.2,23.6,70.96,89.96,98,GP_CTRL_Tyr_4Hz,GP,CTRL,Tyr,4Hz
19307008,-82.8590716762633,49.9603282651379,132.819399941401,299.545294781295,-84.8724384204847,1.07008826219564,0.0385407407407407,27.765119238211,11.88,30.96,83.2,100.96,109.6,GP_CTRL_Tyr_4Hz,GP,CTRL,Tyr,4Hz
19307012,-75.0620744316743,49.8950206464906,124.957095078165,197.024540536655,-79.2785662251393,0.900382634710868,0.030274074074074,29.741046167352,16.64,36.64,84.32,95.12,100.12,GP_CTRL_Tyr_4Hz,GP,CTRL,Tyr,4Hz
19314014,-65.9979216699544,45.2392556637507,111.237177333705,112.823480969298,-4.82177711472788,0.292270802890439,0.0243555555555556,12.000169826706,3.52,7.68,18.24,24.96,31.24,GP_CTRL_Tyr_4Hz,GP,CTRL,Tyr,4Hz
