"Sweep (n)","APD","APD value (ms)","APD value (mV)"
65,"APD 20",1,31.449997803243
65,"APD 50",7,-8.79999938532713
65,"APD 90",31.5,-62.1499956588729
66,"APD 20",1,31.1499978241977
66,"APD 50",7.1,-8.99999937135729
66,"APD 90",31.5,-62.0999956623653
67,"APD 20",0.999999999999998,30.0999978975394
67,"APD 50",6.8,-8.84999938183467
67,"APD 90",31,-62.1999956553804
68,"APD 20",0.999999999999998,30.3999978765846
68,"APD 50",7,-8.74999938881959
68,"APD 90",31.6,-62.0499956658578
69,"APD 20",1,30.4499978730922
69,"APD 50",7.1,-9.19999935738745
69,"APD 90",31.6,-61.9999956693502
70,"APD 20",1,31.5999977927656
70,"APD 50",7,-8.99999937135729
70,"APD 90",31.6,-62.1499956588729
71,"APD 20",1,31.5999977927656
71,"APD 50",7,-8.79999938532713
71,"APD 90",31.7,-62.1499956588729
72,"APD 20",1,30.9999978346751
72,"APD 50",6.9,-8.59999939929697
72,"APD 90",31.8,-61.9999956693502
73,"APD 20",1,31.4999977997505
73,"APD 50",7,-8.99999937135729
73,"APD 90",31.7,-61.9999956693502
74,"APD 20",1,31.3499978102279
74,"APD 50",7,-9.24999935389499
74,"APD 90",31.4,-62.2499956518879
