"Sweep (n)","dV/dt max x (ms)","dV/dt max y (V/s)"
150,14.1,355.99997513369
151,13.9,369.499974190719
152,14,367.999974295499
153,14.1,358.999974924142
154,14.1,346.499975797257
155,14,370.499974120876
156,14.1,339.999976251277
157,14.2,364.499974539965
158,13.9,369.999974155795
159,13.9,368.499974260568
